id	name	country_id	province_id	district_id	dsd_id	ed_id	area	population	hasc	subs	supers	eqs	ints	centroid	centroid_altitude
LK-1103	Colombo	LK	LK-1	LK-11	LK-1103	EC-01	18.0	323223	LK.CO.CO	['EC-01A', 'EC-01B']	['LG-11031', 'MOH-11031']	[]	[]	[6.94508500465786, 79.86155353524043]	8
LK-1106	Kolonnawa	LK	LK-1	LK-11	LK-1106	EC-01	28.0	191687	LK.CO.KO	['LG-11061', 'LG-11062']	['EC-01', 'LK-11']	['EC-01H', 'MOH-11060']	[]	[6.934527787358537, 79.91578116166052]	10
LK-1109	Kaduwela	LK	LK-1	LK-11	LK-1109	EC-01	88.0	252041	LK.CO.KA	['MOH-11091', 'MOH-11092']	['EC-01', 'LK-11']	['EC-01J', 'LG-11090']	[]	[6.903549932790641, 79.97822268137458]	11
LK-1112	Homagama	LK	LK-1	LK-11	LK-1112	EC-01	121.0	237905	LK.CO.HO	['MOH-11121', 'MOH-11122']	['LG-11121']	['EC-01L']	[]	[6.833318532714652, 80.01602720809592]	28
LK-1115	Seethawaka	LK	LK-1	LK-11	LK-1115	EC-01	150.0	113807	LK.CO.HA	['LG-11152', 'LK-1115005', 'LK-1115010', 'LK-1115015', 'LK-1115020', 'LK-1115025', 'LK-1115065', 'LK-1115070', 'LK-1115075', 'LK-1115080', 'LK-1115085', 'LK-1115090', 'LK-1115095', 'LK-1115100', 'LK-1115105', 'LK-1115110', 'LK-1115115', 'LK-1115120', 'LK-1115125', 'LK-1115165', 'LK-1115170', 'LK-1115175', 'LK-1115180', 'LK-1115185', 'LK-1115190', 'LK-1115195', 'LK-1115200', 'LK-1115205', 'LK-1115210', 'LK-1115215', 'LK-1115220', 'LK-1115225', 'LK-1115230', 'LK-1115235', 'LK-1115240', 'LK-1115245', 'LK-1115250', 'LK-1115255', 'LK-1115260', 'LK-1115265', 'LK-1115270', 'LK-1115275', 'LK-1115280', 'LK-1115285', 'LK-1115290', 'LK-1115295', 'LK-1115300', 'LK-1115305', 'LK-1115310', 'LK-1115315', 'LK-1115320', 'LK-1115325', 'LK-1115330', 'LK-1115335', 'LK-1115340']	['EC-01K']	['MOH-11150']	['LG-11151']	[6.922880067476039, 80.1471239373153]	38
LK-1118	Padukka	LK	LK-1	LK-11	LK-1118	EC-01	110.0	65267	LK.CO.PA	['LK-1118005', 'LK-1118010', 'LK-1118015', 'LK-1118020', 'LK-1118025', 'LK-1118030', 'LK-1118035', 'LK-1118040', 'LK-1118045', 'LK-1118050', 'LK-1118055', 'LK-1118060', 'LK-1118065', 'LK-1118070', 'LK-1118075', 'LK-1118080', 'LK-1118085', 'LK-1118090', 'LK-1118095', 'LK-1118100', 'LK-1118105', 'LK-1118110', 'LK-1118115', 'LK-1118120', 'LK-1118125', 'LK-1118130', 'LK-1118135', 'LK-1118140', 'LK-1118145', 'LK-1118150', 'LK-1118155', 'LK-1118160', 'LK-1118165', 'LK-1118170', 'LK-1118175', 'LK-1118180', 'LK-1118185', 'LK-1118190', 'LK-1118195', 'LK-1118200', 'LK-1118205', 'LK-1118210', 'LK-1118215', 'LK-1118220', 'LK-1118225', 'LK-1118230']	['EC-01K']	['MOH-11180']	['LG-11121', 'LG-11151']	[6.834283707871881, 80.12218061714873]	41
LK-1121	Maharagama	LK	LK-1	LK-11	LK-1121	EC-01	38.0	196423	LK.CO.MA	['LK-1121005', 'LK-1121010', 'LK-1121015', 'LK-1121080', 'LK-1121085', 'LK-1121090', 'LK-1121095', 'MOH-11211']	['EC-01', 'LK-11']	['EC-01M', 'LG-11210']	['MOH-11212']	[6.856956689606919, 79.94263626104865]	30
LK-1124	Sri Jayawardanapura Kotte	LK	LK-1	LK-11	LK-1124	EC-01	17.0	107883	LK.CO.SJ	['LK-1124040', 'LK-1124045', 'LK-1124050', 'LK-1124055', 'LK-1124060', 'MOH-11241']	['EC-01', 'LK-11']	['EC-01I', 'LG-11240']	['MOH-11212']	[6.89106447937001, 79.89873125770637]	5
LK-1127	Thimbirigasyaya	LK	LK-1	LK-11	LK-1127	EC-01	24.0	237748	LK.CO.TH	['EC-01C', 'EC-01D', 'EC-01E']	['LG-11031', 'MOH-11031']	[]	[]	[6.899983320095485, 79.86969556004024]	12
LK-1130	Dehiwala	LK	LK-1	LK-11	LK-1130	EC-01	8.0	88962	LK.CO.DM	['LK-1130005', 'LK-1130010', 'LK-1130015', 'LK-1130020', 'LK-1130025', 'LK-1130030', 'LK-1130035', 'LK-1130040', 'LK-1130045', 'LK-1130050', 'LK-1130055', 'LK-1130060', 'LK-1130065', 'LK-1130070', 'LK-1130075']	['LG-11301']	['EC-01F', 'MOH-11300']	[]	[6.858488190680094, 79.87561778973246]	21
