id	name	country_id	province_id	district_id	ed_id	pd_id	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
EC-01A	Colombo North	LK	LK-1	LK-11	EC-01	EC-01A	121603	7.08	['LK-1103005', 'LK-1103010', 'LK-1103015', 'LK-1103020', 'LK-1103025', 'LK-1103030', 'LK-1103035', 'LK-1103040', 'LK-1103045']	['LK-1103']	[]	[]	[6.9626127635016895, 79.87028528726559]	13
EC-01B	Colombo Central	LK	LK-1	LK-11	EC-01	EC-01B	201620	12.77	['LK-1103050', 'LK-1103055', 'LK-1103060', 'LK-1103065', 'LK-1103070', 'LK-1103075', 'LK-1103080', 'LK-1103085', 'LK-1103090', 'LK-1103095', 'LK-1103100', 'LK-1103105', 'LK-1103110', 'LK-1103115', 'LK-1103120', 'LK-1103125', 'LK-1103130', 'LK-1103135', 'LK-1103140', 'LK-1103145', 'LK-1103150', 'LK-1103155', 'LK-1103160', 'LK-1103165', 'LK-1103170', 'LK-1103175']	['LK-1103']	[]	[]	[6.935324775677475, 79.8566677571678]	11
EC-01C	Borella	LK	LK-1	LK-11	EC-01	EC-01C	89806	7.61	['LK-1127015', 'LK-1127020', 'LK-1127025', 'LK-1127030', 'LK-1127035', 'LK-1127040', 'LK-1127045']	['LK-1127']	[]	[]	[6.917355020508647, 79.87297934103546]	13
EC-01D	Colombo East	LK	LK-1	LK-11	EC-01	EC-01D	93260	8.47	['LK-1127050', 'LK-1127055', 'LK-1127060', 'LK-1127075', 'LK-1127080', 'LK-1127095', 'LK-1127100']	['LK-1127']	[]	[]	[6.8912018520563505, 79.87629096782736]	13
EC-01E	Colombo West	LK	LK-1	LK-11	EC-01	EC-01E	54682	6.65	['LK-1127005', 'LK-1127010', 'LK-1127065', 'LK-1127070', 'LK-1127085', 'LK-1127090']	['LK-1127']	[]	[]	[6.891870340125711, 79.8583915383261]	14
EC-01F	Dehiwala	LK	LK-1	LK-11	EC-01	EC-01F	88962	8.54	['LK-1130005', 'LK-1130010', 'LK-1130015', 'LK-1130020', 'LK-1130025', 'LK-1130030', 'LK-1130035', 'LK-1130040', 'LK-1130045', 'LK-1130050', 'LK-1130055', 'LK-1130060', 'LK-1130065', 'LK-1130070', 'LK-1130075']	['LG-11301']	['LK-1130', 'MOH-11300']	[]	[6.858488190680094, 79.87561778973246]	21
EC-01G	Ratmalana	LK	LK-1	LK-11	EC-01	EC-01G	95506	13.35	['LK-1131005', 'LK-1131010', 'LK-1131015', 'LK-1131020', 'LK-1131025', 'LK-1131030', 'LK-1131035', 'LK-1131040', 'LK-1131045', 'LK-1131050', 'LK-1131055', 'LK-1131060', 'LK-1131065']	['LG-11301']	['LK-1131', 'MOH-11310']	[]	[6.827126053869761, 79.87842493421877]	10
EC-01H	Kolonnawa	LK	LK-1	LK-11	EC-01	EC-01H	191687	26.02	['LG-11061', 'LG-11062']	['EC-01', 'LK-11']	['LK-1106', 'MOH-11060']	[]	[6.934527787358537, 79.91578116166052]	10
EC-01I	Kotte	LK	LK-1	LK-11	EC-01	EC-01I	107883	16.56	['LK-1124040', 'LK-1124045', 'LK-1124050', 'LK-1124055', 'LK-1124060', 'MOH-11241']	['EC-01', 'LK-11']	['LG-11240', 'LK-1124']	['MOH-11212']	[6.89106447937001, 79.89873125770637]	5
EC-01J	Kaduwela	LK	LK-1	LK-11	EC-01	EC-01J	252041	88.44	['MOH-11091', 'MOH-11092']	['EC-01', 'LK-11']	['LG-11090', 'LK-1109']	[]	[6.903549932790641, 79.97822268137458]	11
EC-01K	Avissawella	LK	LK-1	LK-11	EC-01	EC-01K	179074	252.57	['LG-11151', 'LK-1115', 'LK-1118', 'MOH-11150', 'MOH-11180']	['EC-01', 'LK-11']	[]	['LG-11121']	[6.885699768899591, 80.13665452632627]	34
EC-01L	Homagama	LK	LK-1	LK-11	EC-01	EC-01L	237905	119.61	['MOH-11121', 'MOH-11122']	['LG-11121']	['LK-1112']	[]	[6.833318532714652, 80.01602720809592]	28
