id,name,province_id
LK-11,Colombo,LK-1
LK-12,Gampaha,LK-1
LK-13,Kalutara,LK-1
LK-21,Kandy,LK-2
LK-22,Matale,LK-2
LK-23,Nuwara Eliya,LK-2
LK-31,Galle,LK-3
LK-32,Matara,LK-3
LK-33,Hambantota,LK-3
LK-41,Jaffna,LK-4
LK-42,Mannar,LK-4
LK-43,Vavuniya,LK-4
LK-44,Mullaitivu,LK-4
LK-45,Kilinochchi,LK-4
LK-51,Batticaloa,LK-5
LK-52,Ampara,LK-5
LK-53,Trincomalee,LK-5
LK-61,Kurunegala,LK-6
LK-62,Puttalam,LK-6
LK-71,Anuradhapura,LK-7
LK-72,Polonnaruwa,LK-7
LK-81,Badulla,LK-8
LK-82,Moneragala,LK-8
LK-91,Ratnapura,LK-9
LK-92,Kegalle,LK-9
