id,name,district_id
LK-1103,Colombo,LK-11
LK-1106,Kolonnawa,LK-11
LK-1109,Kaduwela,LK-11
LK-1112,Homagama,LK-11
LK-1115,Seethawaka,LK-11
LK-1118,Padukka,LK-11
LK-1121,Maharagama,LK-11
LK-1124,Sri Jayawardanapura Kotte,LK-11
LK-1127,Thimbirigasyaya,LK-11
LK-1130,Dehiwala,LK-11
LK-1131,Ratmalana,LK-11
LK-1133,Moratuwa,LK-11
LK-1136,Kesbewa,LK-11
LK-1203,Negombo,LK-12
LK-1206,Katana,LK-12
LK-1209,Divulapitiya,LK-12
LK-1212,Mirigama,LK-12
LK-1215,Minuwangoda,LK-12
LK-1218,Wattala,LK-12
LK-1221,Ja-Ela,LK-12
LK-1224,Gampaha,LK-12
LK-1227,Attanagalla,LK-12
LK-1230,Dompe,LK-12
LK-1233,Mahara,LK-12
LK-1236,Kelaniya,LK-12
LK-1239,Biyagama,LK-12
LK-1303,Panadura,LK-13
LK-1306,Bandaragama,LK-13
LK-1309,Horana,LK-13
LK-1310,Ingiriya,LK-13
LK-1312,Bulathsinhala,LK-13
LK-1315,Madurawala,LK-13
LK-1318,Millaniya,LK-13
LK-1321,Kalutara,LK-13
LK-1324,Beruwala,LK-13
LK-1327,Dodangoda,LK-13
LK-1330,Mathugama,LK-13
LK-1333,Agalawatta,LK-13
LK-1336,Palindanuwara,LK-13
LK-1339,Walallavita,LK-13
LK-2103,Thumpane,LK-21
LK-2106,Pujapitiya,LK-21
LK-2109,Akurana,LK-21
LK-2112,Pathadumbara,LK-21
LK-2115,Panvila,LK-21
LK-2118,Udadumbara,LK-21
LK-2121,Minipe,LK-21
LK-2124,Medadumbara,LK-21
LK-2127,Kundasale,LK-21
LK-2130,Kandy Four Gravets & Gangawata Korale,LK-21
LK-2133,Harispattuwa,LK-21
LK-2134,Hatharaliyadda,LK-21
LK-2136,Yatinuwara,LK-21
LK-2139,Udunuwara,LK-21
LK-2142,Doluwa,LK-21
LK-2145,Pathahewaheta,LK-21
LK-2148,Deltota,LK-21
LK-2151,Udapalatha,LK-21
