id,name,dsd_id
LK-1103005,Sammanthranapura,LK-1103
LK-1103010,Mattakkuliya,LK-1103
LK-1103015,Modara,LK-1103
LK-1103020,Madampitiya,LK-1103
LK-1103025,Mahawatta,LK-1103
LK-1103030,Aluthmawatha,LK-1103
LK-1103035,Lunupokuna,LK-1103
LK-1103040,Bloemendhal,LK-1103
LK-1103045,Kotahena East,LK-1103
LK-1103050,Kotahena West,LK-1103
LK-1103055,Kochchikade North,LK-1103
LK-1103060,Jinthupitiya,LK-1103
LK-1103065,Masangasweediya,LK-1103
LK-1103070,New Bazaar,LK-1103
LK-1103075,Grandpass South,LK-1103
LK-1103080,Grandpass North,LK-1103
LK-1103085,Nawagampura,LK-1103
LK-1103090,Maligawatta East,LK-1103
LK-1103095,Khettarama,LK-1103
LK-1103100,Aluthkade East,LK-1103
LK-1103105,Aluthkade West,LK-1103
LK-1103110,Kochchikade South,LK-1103
LK-1103115,Pettah,LK-1103
LK-1103120,Fort,LK-1103
LK-1103125,Galle Face,LK-1103
LK-1103130,Slave Island,LK-1103
LK-1103135,Hunupitiya,LK-1103
LK-1103140,Suduwella,LK-1103
LK-1103145,Keselwatta,LK-1103
LK-1103150,Panchikawatta,LK-1103
LK-1103155,Maligawatta West,LK-1103
LK-1103160,Maligakanda,LK-1103
LK-1103165,Maradana,LK-1103
LK-1103170,Ibbanwala,LK-1103
LK-1103175,Wekanda,LK-1103
LK-1106005,Wadulla,LK-1106
LK-1106010,Sedawatta,LK-1106
LK-1106015,Halmulla,LK-1106
LK-1106020,Kotuvila,LK-1106
LK-1106025,Veheragoda,LK-1106
LK-1106030,Orugodawatta,LK-1106
LK-1106035,Meethotamulla,LK-1106
LK-1106040,Welewatta,LK-1106
LK-1106045,Kittampahuwa,LK-1106
LK-1106050,Wennawatta,LK-1106
LK-1106055,Maha Buthgamuwa B,LK-1106
LK-1106060,Kuda Buthgamuwa,LK-1106
LK-1106065,Kelanimulla,LK-1106
LK-1106070,Ambathale,LK-1106
LK-1106075,Mulleriyawa North,LK-1106
LK-1106080,Belagama,LK-1106
LK-1106085,Kotikawatta East,LK-1106
LK-1106090,Maha Buthgamuwa A,LK-1106
LK-1106095,Maha Buthgamuwa C,LK-1106
LK-1106100,Wellampitiya,LK-1106
LK-1106105,Kuruniyawatta,LK-1106
LK-1106110,Kolonnawa,LK-1106
LK-1106115,Dahampura,LK-1106
LK-1106120,Singhapura,LK-1106
LK-1106125,Megoda Kolonnawa,LK-1106
LK-1106130,Bopetta,LK-1106
LK-1106135,Batalandahena,LK-1106
LK-1106140,Kotikawatta West,LK-1106
LK-1106145,Mulleriyawa South,LK-1106
LK-1106150,Malgama,LK-1106
LK-1106155,Udumulla North,LK-1106
LK-1106160,Maligagodella,LK-1106
LK-1106165,Rajasinghagama,LK-1106
LK-1106170,Udumulla South,LK-1106
LK-1106175,Himbutana East,LK-1106
LK-1106180,Himbutana West,LK-1106
LK-1106185,Malpura,LK-1106
LK-1106190,Gothatuwa New Town,LK-1106
LK-1106195,Kajugahawatta,LK-1106
LK-1106200,Gothatuwa,LK-1106
LK-1106205,Salamulla,LK-1106
LK-1106210,Wijayapura,LK-1106
LK-1106215,Gajabapura,LK-1106
LK-1106220,Madinnagoda,LK-1106
LK-1106225,Elhena,LK-1106
LK-1106230,Dodamgahahena,LK-1106
LK-1109005,Welivita,LK-1109
LK-1109010,Raggahawatta,LK-1109
LK-1109015,Hewagama,LK-1109
LK-1109020,Kaduwela,LK-1109
LK-1109025,Pahala Bomiriya,LK-1109
LK-1109030,Ihala Bomiriya,LK-1109
LK-1109035,Wekewatta,LK-1109
LK-1109040,Nawagamuwa,LK-1109
LK-1109045,Pahala Bomiriya B,LK-1109
LK-1109050,Welihinda,LK-1109
LK-1109055,Kothalawala,LK-1109
LK-1109060,Mahadeniya,LK-1109
LK-1109065,Thalahena North,LK-1109
LK-1109070,Malabe North,LK-1109
LK-1109075,Thunadahena,LK-1109
LK-1109080,Korathota,LK-1109
LK-1109085,Nawagamuwa South,LK-1109
LK-1109090,Batewela,LK-1109
LK-1109095,Ranala,LK-1109
LK-1109100,Dedigamuwa,LK-1109
LK-1109105,Embilladeniya,LK-1109
LK-1109110,Welipillewa,LK-1109
LK-1109115,Shanthalokagama,LK-1109
LK-1109120,Pore,LK-1109
LK-1109125,Malabe East,LK-1109
LK-1109130,Malabe West,LK-1109
LK-1109135,Thalangama North B,LK-1109
LK-1109140,Thalahena South,LK-1109
LK-1109145,Muttettugoda,LK-1109
LK-1109150,Thalangama North A,LK-1109
LK-1109155,Walpola,LK-1109
LK-1109160,Kalapaluwawa,LK-1109
LK-1109165,Kotuwegoda,LK-1109
LK-1109170,Subhoothipura,LK-1109
LK-1109175,Udumulla,LK-1109
LK-1109180,Battaramulla North,LK-1109
LK-1109185,Batapotha,LK-1109
LK-1109190,Pothuarawa,LK-1109
LK-1109195,Hokandara North,LK-1109
LK-1109200,Oruwala,LK-1109
LK-1109205,Athurugiriya,LK-1109
LK-1109210,Thaldiyawala,LK-1109
LK-1109215,Boralugoda,LK-1109
LK-1109220,Hokandara East,LK-1109
LK-1109225,Arangala,LK-1109
LK-1109230,Evarihena,LK-1109
LK-1109235,Kumaragewatta,LK-1109
LK-1109240,Jayawadanagama,LK-1109
LK-1109245,Aruppitiya,LK-1109
LK-1109250,Asiri Uyana,LK-1109
LK-1109255,Battaramulla South,LK-1109
LK-1109260,Rajamalwatta,LK-1109
LK-1109265,Pahalawela,LK-1109
LK-1109270,Wickramasinghapura,LK-1109
LK-1109275,Wellangiriya,LK-1109
LK-1109280,Hokandara South,LK-1109
LK-1109285,Athurugiriya South,LK-1109
LK-1112005,Jalthara,LK-1112
LK-1112010,Henpita,LK-1112
LK-1112015,Atigala West,LK-1112
LK-1112020,Atigala East,LK-1112
LK-1112025,Batawala,LK-1112
LK-1112030,Walpita,LK-1112
LK-1112035,Nawalamulla,LK-1112
LK-1112040,Meegasmulla,LK-1112
LK-1112045,Habarakada North,LK-1112
LK-1112050,Mullegama North,LK-1112
LK-1112055,Mullegama South,LK-1112
LK-1112060,Habarakada South,LK-1112
LK-1112065,Panagoda Town,LK-1112
LK-1112070,Henawatta,LK-1112
LK-1112075,Meegoda North,LK-1112
LK-1112080,Panaluwa,LK-1112
LK-1112085,Watareka North,LK-1112
LK-1112090,Meegoda South,LK-1112
LK-1112095,Godagama North,LK-1112
LK-1112100,Panagoda West,LK-1112
LK-1112105,Panagoda East,LK-1112
LK-1112110,Habarakada Watta,LK-1112
LK-1112115,Homagama North,LK-1112
LK-1112120,Homagama West,LK-1112
LK-1112125,Homagama South,LK-1112
LK-1112130,Galavilawatta North,LK-1112
LK-1112135,Homagama Town,LK-1112
LK-1112140,Homagama East,LK-1112
LK-1112145,Pitipana Town,LK-1112
LK-1112150,Godagama South,LK-1112
LK-1112155,Kurunduwatta,LK-1112
LK-1112160,Gehenuwala,LK-1112
LK-1112165,Watareka South,LK-1112
LK-1112170,Ovitigama,LK-1112
LK-1112175,Kandanawatta,LK-1112
LK-1112180,Kiriberiyakele,LK-1112
LK-1112185,Mawathgama,LK-1112
LK-1112190,Katuwana,LK-1112
LK-1112195,Galavilawatta South,LK-1112
LK-1112200,Niyandagala,LK-1112
LK-1112205,Hiripitiya,LK-1112
LK-1112210,Mambulgoda,LK-1112
LK-1112215,Kithulhena,LK-1112
LK-1112220,Siddamulla North,LK-1112
LK-1112225,Siddamulla South,LK-1112
LK-1112230,Mattegoda West,LK-1112
LK-1112235,Mattegoda Central 'A',LK-1112
LK-1112240,Mattegoda East,LK-1112
LK-1112245,Brahmanagama,LK-1112
LK-1112250,Deepangoda,LK-1112
LK-1112255,Magammana West,LK-1112
LK-1112260,Magammana East,LK-1112
LK-1112265,Uduwana,LK-1112
LK-1112270,Prasannapura,LK-1112
LK-1112275,Pitipana North,LK-1112
LK-1112280,Suwapubudugama,LK-1112
LK-1112285,Pitipana South,LK-1112
LK-1112290,Dolahena,LK-1112
LK-1112295,Diyagama East,LK-1112
LK-1112300,Diyagama West,LK-1112
LK-1112305,Kirigampamunuwa,LK-1112
LK-1112310,Mattegoda Central 'B',LK-1112
LK-1112315,Siyambalagoda North,LK-1112
LK-1112320,Kudamaduwa,LK-1112
LK-1112325,Sangharama,LK-1112
LK-1112330,Siyambalagoda South,LK-1112
LK-1112335,Rilawala,LK-1112
LK-1112340,Kahathuduwa West,LK-1112
LK-1112345,Kiriwattuduwa South,LK-1112
LK-1112350,kiriwattuduwa North,LK-1112
LK-1112355,Moonamale - Yakahaluwa,LK-1112
LK-1112360,Kithulavila,LK-1112
LK-1112365,Kahathuduwa North,LK-1112
LK-1112370,Kahathuduwa East,LK-1112
LK-1112375,Kahathuduwa South,LK-1112
LK-1112380,Undurugoda,LK-1112
LK-1112385,Wethara,LK-1112
LK-1112390,Ambalangoda,LK-1112
LK-1112395,Heraliyawala,LK-1112
LK-1112400,Palagama,LK-1112
LK-1112405,weniwelkola,LK-1112
LK-1115005,Bollathawa,LK-1115
LK-1115010,Kanampella West,LK-1115
LK-1115015,Kanampella East,LK-1115
LK-1115020,Manakada,LK-1115
LK-1115025,Eswatta North,LK-1115
LK-1115030,Kiriwandala North,LK-1115
LK-1115035,Kudagama,LK-1115
LK-1115040,Weralupitiya,LK-1115
LK-1115045,Seethagama,LK-1115
LK-1115050,Avissawella,LK-1115
LK-1115055,Ukwatta,LK-1115
LK-1115060,Agra Pedesa,LK-1115
LK-1115065,Eswatta South,LK-1115
LK-1115070,Ihala Kosgama North,LK-1115
LK-1115075,Thawalgoda,LK-1115
LK-1115080,Muruthagama,LK-1115
LK-1115085,Akaravita,LK-1115
LK-1115090,Kahatapitiya,LK-1115
LK-1115095,Kalu Aggala,LK-1115
LK-1115100,Salawa,LK-1115
LK-1115105,Pahala Kosgama west,LK-1115
LK-1115110,Pahala Kosgama East,LK-1115
LK-1115115,Ihala Kosgama South,LK-1115
LK-1115120,Miriswatta,LK-1115
LK-1115125,Aluth Ambalama,LK-1115
LK-1115130,Kiriwandala South,LK-1115
LK-1115135,Kotahera,LK-1115
LK-1115140,Seethawaka,LK-1115
LK-1115145,Aradhana Kanda,LK-1115
LK-1115150,Puwakpitiya South,LK-1115
LK-1115155,Puwakpitiya,LK-1115
LK-1115160,Egodagama,LK-1115
LK-1115165,Weragolla North,LK-1115
LK-1115170,Hingurala,LK-1115
LK-1115175,Kadugoda North,LK-1115
LK-1115180,Mawalgama,LK-1115
LK-1115185,Suduwella,LK-1115
LK-1115190,Gira Imbula,LK-1115
LK-1115195,Walawwatta,LK-1115
LK-1115200,Pahala Hanwella,LK-1115
LK-1115205,Hanwella Town,LK-1115
LK-1115210,Ihala Hanwella North,LK-1115
LK-1115215,Niripola,LK-1115
LK-1115220,Brandigampala,LK-1115
LK-1115225,Kadugoda South,LK-1115
LK-1115230,Weragolla South,LK-1115
LK-1115235,Digana,LK-1115
LK-1115240,Lahirugama,LK-1115
LK-1115245,Mambula,LK-1115
LK-1115250,Welikanna,LK-1115
LK-1115255,Kahahena,LK-1115
LK-1115260,Neluwattuduwa,LK-1115
LK-1115265,Diddeniya North,LK-1115
LK-1115270,Ihala Hanwella South,LK-1115
LK-1115275,Pahathgama,LK-1115
LK-1115280,Jayaweeragoda,LK-1115
LK-1115285,Koodaluvila,LK-1115
LK-1115290,Thunnana East,LK-1115
LK-1115295,Diddeniya South,LK-1115
LK-1115300,Elamalawala,LK-1115
LK-1115305,Ilukovita,LK-1115
LK-1115310,Koswatta,LK-1115
LK-1115315,Pagngnagula,LK-1115
LK-1115320,Pelpola,LK-1115
LK-1115325,Kudakanda,LK-1115
LK-1115330,Thunnana West,LK-1115
LK-1115335,Mawathagama West,LK-1115
LK-1115340,Mawathagama East,LK-1115
LK-1118005,Pinnawala North,LK-1118
LK-1118010,Pinnawala South,LK-1118
LK-1118015,Waga North,LK-1118
LK-1118020,Waga East,LK-1118
LK-1118025,Thummodara,LK-1118
LK-1118030,Waga South,LK-1118
LK-1118035,Siyambalawa,LK-1118
LK-1118040,Pahala Bope,LK-1118
LK-1118045,Halpe,LK-1118
LK-1118050,Waga West,LK-1118
LK-1118055,Uggalla,LK-1118
LK-1118060,Wewelpanawa,LK-1118
LK-1118065,Pitumpe North,LK-1118
LK-1118070,Pitumpe South,LK-1118
LK-1118075,Galagedara East,LK-1118
LK-1118080,Galagedara North,LK-1118
LK-1118085,Galagedara South,LK-1118
LK-1118090,Padukka,LK-1118
LK-1118095,Arukwatta North,LK-1118
LK-1118100,Arukwatta South,LK-1118
LK-1118105,Ganegoda,LK-1118
LK-1118110,Angampitiya,LK-1118
LK-1118115,Weragala,LK-1118
LK-1118120,Angamuwa,LK-1118
LK-1118125,Udumulla,LK-1118
LK-1118130,Poregedara,LK-1118
LK-1118135,Pahala Padukka,LK-1118
LK-1118140,Liyanwala,LK-1118
LK-1118145,Kurugala,LK-1118
LK-1118150,Madulawa South,LK-1118
LK-1118155,Madulawa North,LK-1118
LK-1118160,Horakandawala,LK-1118
LK-1118165,Dampe,LK-1118
LK-1118170,Beruketiya,LK-1118
LK-1118175,Horagala West,LK-1118
LK-1118180,Horagala East,LK-1118
LK-1118185,Beliattavila,LK-1118
LK-1118190,Miriyagalla,LK-1118
LK-1118195,Malagala,LK-1118
LK-1118200,Kahawala,LK-1118
LK-1118205,Yatawathura,LK-1118
LK-1118210,Mahingala,LK-1118
LK-1118215,Ihala Bope,LK-1118
LK-1118220,Gurulana,LK-1118
LK-1118225,Udagama,LK-1118
LK-1118230,Dambora,LK-1118
LK-1121005,Mirihana South,LK-1121
LK-1121010,Mirihana North,LK-1121
LK-1121015,Madiwela,LK-1121
LK-1121020,Thalawathugoda West,LK-1121
LK-1121025,Thalawathugoda East,LK-1121
LK-1121030,Kalalgoda,LK-1121
LK-1121035,Kottawa East,LK-1121
LK-1121040,Rukmale West,LK-1121
LK-1121045,Rukmale East A,LK-1121
LK-1121050,Rukmale East B,LK-1121
LK-1121055,Liyanagoda,LK-1121
LK-1121060,Kottawa North,LK-1121
LK-1121065,Depanama,LK-1121
LK-1121070,Polwatta,LK-1121
LK-1121075,Pamunuwa,LK-1121
LK-1121080,Thalapathpitiya,LK-1121
LK-1121085,Pragathipura,LK-1121
LK-1121090,Udahamulla East,LK-1121
LK-1121095,Udahamulla West,LK-1121
LK-1121100,Pathiragoda,LK-1121
LK-1121105,Maharagama East,LK-1121
LK-1121110,Maharagama West,LK-1121
LK-1121115,Dambahena,LK-1121
LK-1121120,Pannipitiya North,LK-1121
LK-1121125,Kottawa West,LK-1121
LK-1121130,Kottawa South,LK-1121
LK-1121135,Malapalla West,LK-1121
LK-1121140,Malapalla East,LK-1121
LK-1121145,Makumbura North,LK-1121
LK-1121150,Makumbura South,LK-1121
LK-1121155,Kottawa Town,LK-1121
LK-1121160,Pannipitiya South,LK-1121
LK-1121165,Maharagama Town,LK-1121
LK-1121170,Godigamuwa South,LK-1121
LK-1121175,Godigamuwa South B,LK-1121
LK-1121180,Godigamuwa North,LK-1121
LK-1121185,Wattegedara,LK-1121
LK-1121190,Navinna,LK-1121
LK-1121195,Wijerama,LK-1121
LK-1121200,Gangodavila South B,LK-1121
LK-1121205,Jambugasmulla,LK-1121
LK-1124005,Obesekarapura,LK-1124
LK-1124010,Welikada West,LK-1124
LK-1124015,Welikada East,LK-1124
LK-1124020,Rajagiriya,LK-1124
LK-1124025,Welikada North,LK-1124
LK-1124030,Nawala West,LK-1124
LK-1124035,Koswatta,LK-1124
LK-1124040,Ethulkotte West,LK-1124
