entity_id	employed	unemployed	economically_not_active	region_id
EC-01	904028	44665	871752	0
EC-01A	45477	2459	50220	0
EC-01B	65443	3750	73081	0
EC-01C	33578	1715	35351	0
EC-01D	38080	1523	35317	0
EC-01E	21763	722	23064	0
EC-01F	33994	1625	35932	0
EC-01G	37735	1760	36767	0
EC-01H	69880	3937	70449	0
EC-01I	45778	2191	40155	0
EC-01J	101044	4820	92982	0
EC-01K	66053	3656	57014	0
EC-01L	101359	4607	91123	0
EC-01M	81641	3573	73745	0
EC-01N	97228	5230	91829	0
EC-01O	64975	3097	64723	0
EC-02	865940	52580	858095	0
EC-02A	64690	3704	66033	0
EC-02B	49604	2816	54916	0
EC-02C	102711	4574	77470	0
EC-02D	55653	3229	52809	0
EC-02E	60838	3997	61734	0
EC-02F	66992	4902	65053	0
EC-02G	64445	4215	68795	0
EC-02H	71325	4479	76825	0
EC-02I	73650	4207	76524	0
EC-02J	74473	5168	80246	0
EC-02K	57198	3670	57399	0
EC-02L	72841	4023	67627	0
EC-02M	51520	3596	52664	0
EC-03	442220	28273	452127	0
EC-03A	56384	2828	63371	0
EC-03B	67743	3793	68245	0
EC-03C	66492	3720	58970	0
EC-03D	44597	2726	36819	0
EC-03E	51448	3463	53499	0
EC-03F	53676	3515	62417	0
EC-03G	49690	4482	65185	0
EC-03H	52190	3746	43621	0
EC-04	460583	35837	523492	0
EC-04A	24281	1685	24892	0
EC-04B	65811	5889	79648	0
EC-04C	37015	2659	43680	0
EC-04D	30872	1502	22652	0
EC-04E	21808	1296	21898	0
EC-04F	43116	2847	46639	0
EC-04G	28622	3056	33037	0
EC-04H	36646	2322	48810	0
EC-04I	17074	1041	20367	0
EC-04J	36117	2711	41796	0
EC-04K	34418	3451	44714	0
EC-04L	43745	3521	49160	0
EC-04M	41058	3857	46199	0
EC-05	175747	9870	172944	0
EC-05A	64833	3133	58943	0
EC-05B	35283	1598	28403	0
EC-05C	37118	2488	41049	0
EC-05D	38513	2651	44549	0
EC-06	273556	22987	211369	0
EC-06A	162205	15128	117447	0
EC-06B	37108	3341	32919	0
EC-06C	34305	2097	28196	0
EC-06D	39938	2421	32807	0
EC-07	370017	31852	397409	0
EC-07A	21095	2177	27097	0
EC-07B	30750	2612	35883	0
EC-07C	30953	2359	35330	0
EC-07D	39978	3341	44135	0
EC-07E	55418	4088	38626	0
EC-07F	47649	4028	42940	0
EC-07G	33324	3647	41143	0
EC-07H	30784	2980	41309	0
EC-07I	43019	3851	49828	0
EC-07J	37047	2769	41118	0
EC-08	279576	27100	300363	0
EC-08A	57983	4138	38137	0
EC-08B	40782	4467	40284	0
EC-08C	42767	3984	43572	0
EC-08D	31637	3671	41791	0
EC-08E	29948	3473	39015	0
EC-08F	36389	3574	48601	0
EC-08G	40070	3793	48963	0
EC-09	213946	19875	211099	0
EC-09A	46875	3799	42869	0
EC-09B	31828	4170	37737	0
EC-09C	54914	5382	56137	0
EC-09D	80329	6524	74356	0
EC-10	175640	22183	261289	0
EC-10A	12538	1519	16583	0
EC-10B	18925	2305	26509	0
EC-10C	2790	347	4137	0
EC-10D	23119	2753	37041	0
EC-10E	22018	2527	33631	0
EC-10F	3370	370	4547	0
EC-10G	10104	1565	15814	0
EC-10H	18469	2767	27408	0
EC-10I	18149	2463	33003	0
EC-10J	14710	1643	21331	0
EC-10K	31448	3924	41285	0
EC-11	106872	13688	125368	0
EC-11A	25709	2817	29179	0
EC-11B	52755	8074	63965	0
EC-11C	28408	2797	32224	0
EC-12	142093	16897	187579	0
EC-12A	44254	4117	52774	0
EC-12B	64745	7043	86405	0
EC-12C	33094	5737	48400	0
EC-13	183151	19647	221465	0
EC-13A	85106	5012	72509	0
EC-13B	27222	4221	44766	0
EC-13C	14154	2021	22925	0
EC-13D	56669	8393	81265	0
EC-14	112632	10306	135406	0
EC-14A	33418	2394	35585	0
EC-14B	43052	3872	48525	0
EC-14C	36162	4040	51296	0
EC-15	593110	34833	591262	0
EC-15A	47963	2310	42822	0
EC-15B	44235	2263	42290	0
EC-15C	51101	3038	50326	0
EC-15D	43190	2982	47212	0
EC-15E	35823	2039	36340	0
EC-15F	36692	2096	32299	0
EC-15G	41169	2491	42656	0
EC-15H	50349	2152	43206	0
EC-15I	48864	2710	48257	0
EC-15J	46590	2514	44363	0
EC-15K	35490	2384	38985	0
EC-15L	40584	2780	44803	0
EC-15M	41003	2816	44811	0
EC-15N	30057	2258	32892	0
EC-16	270608	13827	267897	0
EC-16A	67821	3850	76548	0
EC-16B	58791	2637	45360	0
EC-16C	55417	3013	54614	0
EC-16D	39459	2103	43463	0
EC-16E	49120	2224	47912	0
EC-17	335939	16010	275927	0
EC-17A	45190	2209	36558	0
EC-17B	41598	1602	34238	0
EC-17C	51068	2595	48732	0
EC-17D	57489	2685	42695	0
EC-17E	62902	3177	51050	0
EC-17F	32804	1680	29384	0
EC-17G	44888	2062	33270	0
EC-18	147767	9026	143205	0
EC-18A	41170	2248	37794	0
EC-18B	36559	2018	36237	0
EC-18C	70038	4760	69174	0
EC-19	280713	18028	239519	0
EC-19A	53173	2448	37150	0
EC-19B	26751	1288	19718	0
EC-19C	28583	2735	26136	0
EC-19D	26030	2042	27707	0
EC-19E	34568	2265	29277	0
EC-19G	39104	1992	34064	0
EC-19H	39867	2822	38438	0
EC-19I	32637	2436	27029	0
EC-20	173166	11589	145739	0
EC-20A	39123	2499	36529	0
EC-20B	55711	3589	45925	0
EC-20C	78332	5501	63285	0
EC-21	420886	29470	356211	0
EC-21A	44369	2712	38678	0
EC-21B	62978	4245	53328	0
EC-21C	45390	3059	36000	0
EC-21D	54123	3847	48410	0
EC-21E	50651	3911	46740	0
EC-21F	55280	4122	45744	0
EC-21G	41361	2399	25240	0
EC-21H	66734	5175	62071	0
EC-22	305293	23358	307688	0
EC-22A	42878	3206	40854	0
EC-22B	31509	2266	31352	0
EC-22C	30897	2412	35443	0
EC-22D	29260	2245	31307	0
EC-22E	37177	3152	46413	0
EC-22F	23251	1674	22812	0
EC-22G	37054	2614	33639	0
EC-22H	36304	2923	36202	0
EC-22I	36963	2866	29666	0
LG-11001	204341	10169	217033	0
LG-11002	21615	1278	21495	0
LG-11003	48265	2659	48954	0
LG-11004	101044	4820	92982	0
LG-11005	101359	4607	91123	0
LG-11006	52449	3030	47454	0
LG-11007	13604	626	9560	0
LG-11008	81641	3573	73745	0
LG-11009	45778	2191	40155	0
LG-11010	71729	3385	72699	0
LG-11011	64975	3097	64723	0
LG-11012	25112	1205	22918	0
LG-11013	72116	4025	68911	0
LG-12001	49604	2816	54916	0
LG-12002	67339	3333	60746	0
LG-12003	35372	1241	16724	0
LG-12004	55653	3229	52809	0
LG-12005	60838	3997	61734	0
LG-12006	64143	4681	62281	0
LG-12007	2849	221	2772	0
LG-12008	54292	3166	55561	0
LG-12009	10398	538	10472	0
LG-12010	63039	3630	65088	0
LG-12011	10611	577	11436	0
LG-12012	48495	3271	52436	0
LG-12013	22830	1208	24389	0
LG-12014	64445	4215	68795	0
LG-12015	57198	3670	57399	0
LG-12016	74473	5168	80246	0
LG-12017	40163	2768	43530	0
LG-12018	11357	828	9134	0
LG-12019	72841	4023	67627	0
LG-13001	53042	2819	59498	0
LG-13002	11377	500	12285	0
LG-13003	39441	2123	41310	0
LG-13004	62623	3543	55171	0
LG-13005	3869	177	3799	0
LG-13006	27264	1509	20583	0
LG-13007	13194	911	12528	0
LG-13008	20267	1179	18523	0
LG-13009	43583	2817	48957	0
LG-13010	10093	698	13460	0
LG-13011	39596	3617	50220	0
LG-13012	10094	865	14965	0
LG-13013	23738	1366	22645	0
LG-13014	27710	2097	30854	0
LG-13015	13501	1071	13534	0
LG-13016	21193	1414	15469	0
LG-13017	21635	1567	18326	0
LG-21001	24281	1685	24892	0
LG-21002	18808	1443	22565	0
LG-21003	15775	2072	25448	0
LG-21004	21197	1553	27964	0
LG-21005	5247	384	6387	0
LG-21006	36561	2104	45184	0
LG-21007	9755	672	8363	0
LG-21008	10107	496	6204	0
LG-21009	20765	1006	16448	0
LG-21010	21808	1296	21898	0
LG-21011	43116	2847	46639	0
LG-21012	17975	1309	24959	0
LG-21013	31228	2374	31635	0
LG-21014	29516	2203	33849	0
LG-21015	6601	508	7947	0
LG-21016	34418	3451	44714	0
LG-21017	36078	2830	36342	0
LG-21018	28622	3056	33037	0
LG-21019	11051	935	15955	0
LG-21020	18535	1690	20916	0
LG-21021	12999	1347	13655	0
LG-21022	6140	576	8491	0
LG-22001	24485	1526	25021	0
LG-22002	20124	815	15095	0
LG-22003	9541	382	7935	0
LG-22004	12447	571	10207	0
LG-22005	10683	410	10892	0
LG-22006	11060	619	10996	0
LG-22007	15354	1004	15934	0
LG-22008	9771	805	13178	0
LG-22009	5236	323	5837	0
LG-22010	5599	252	3708	0
LG-22011	12001	452	8651	0
LG-22012	17217	1291	19496	0
LG-22013	22229	1420	25994	0
LG-23001	37108	3341	32919	0
LG-23002	34305	2097	28196	0
LG-23003	39938	2421	32807	0
LG-23004	19527	1640	15013	0
LG-23005	22767	2256	15925	0
LG-23006	37095	2468	23680	0
LG-23007	2779	223	2075	0
LG-23008	2928	173	2398	0
LG-23009	31103	3829	27378	0
LG-23010	17278	1851	11595	0
LG-23011	1387	135	1322	0
LG-23012	27341	2553	18061	0
LG-31001	16430	1549	19654	0
LG-31002	21095	2177	27097	0
LG-31003	20288	1510	24138	0
LG-31004	23033	1736	23934	0
LG-31005	13407	1216	12640	0
LG-31006	15695	977	7853	0
LG-31007	13946	748	6769	0
LG-31008	20803	1850	18202	0
LG-31009	26268	2391	28331	0
LG-31010	10359	834	10893	0
LG-31011	6444	593	8460	0
LG-31012	20459	1604	22191	0
LG-31013	23515	2690	28912	0
LG-31014	8960	903	11335	0
LG-31015	20768	2027	26388	0
LG-31016	26407	2491	35348	0
LG-31017	26628	2313	29401	0
LG-31018	18465	1474	14745	0
LG-31019	15453	1140	17033	0
LG-31020	21594	1629	24085	0
LG-32001	23022	1640	13845	0
LG-32002	26128	1923	18857	0
LG-32003	24586	1887	17915	0
LG-32004	17001	1975	18538	0
LG-32005	10886	1163	12153	0
LG-32006	20782	1522	17429	0
LG-32007	33739	3211	39553	0
LG-32008	11099	1299	13990	0
LG-32009	12587	1504	16753	0
LG-32010	10220	1452	12005	0
LG-32011	6235	653	8475	0
LG-32012	10623	1242	13824	0
LG-32013	6331	582	9410	0
LG-32014	11555	1177	14857	0
LG-32015	24834	2397	33744	0
LG-32016	14420	1651	19073	0
LG-32017	15528	1822	19942	0
LG-33001	16763	1141	13833	0
LG-33002	11766	752	10703	0
LG-33003	25736	2210	23305	0
LG-33004	12204	1219	11695	0
LG-33005	7799	573	7936	0
LG-33006	25002	2463	27115	0
LG-33007	17229	1799	16765	0
LG-33008	27931	3124	28556	0
LG-33009	26124	1957	22990	0
LG-33010	18186	2310	21826	0
