entity_id	valid	rejected	polled	electors	PA	UNP	SLMC	TULF	SLPF	MEP	IND1	TELO	IND2	DPLF	EPRLF	IND4	NSSP	TKLO	PFF	DWC	IND3	IND 1	SMBP	IND5
EC-01	921933.0000000006	36635.00000000002	958568.0000000003	1260686.000000001	469642.0	385100.0	0	0	11454.0	42733.99999999996	9251.0	0	0	0	0	0	2049.999999999999	1112.9999999999989	0	588.9999999999999	0	0	0	0
EC-01A	44889.00000000001	2593.0000000000005	47482.0	63528.0	18140.0	24522.0	0	0	268.0	399.0	1254.0	0	0	0	0	0	157.0	95.99999999999999	0	53.00000000000001	0	0	0	0
EC-01B	95710.0	5995.000000000001	101705.00000000001	139012.0	42059.99999999999	50136.0	0	0	501.99999999999994	878.0	1525.9999999999998	0	0	0	0	0	319.0	130.0	0	159.00000000000003	0	0	0	0
EC-01C	36018.00000000001	1524.0	37542.0	52007.0	16764.0	17076.0	0	0	413.99999999999994	1345.0	258.0	0	0	0	0	0	93.0	36.00000000000001	0	32.0	0	0	0	0
EC-01D	39933.0	1617.9999999999998	41551.0	57049.0	18211.0	17857.999999999996	0	0	493.0	1615.0	1593.0	0	0	0	0	0	58.0	87.0	0	18.0	0	0	0	0
EC-01E	25425.0	821.0	26246.0	36915.0	8977.0	12983.0	0	0	90.0	462.0	2813.0	0	0	0	0	0	44.0	31.0	0	25.0	0	0	0	0
EC-01F	40234.99999999999	1273.0	41508.0	55301.0	20882.0	16942.0	0	0	327.0	1145.0	813.0	0	0	0	0	0	71.0	44.0	0	11.0	0	0	0	0
EC-01G	44039.0	1652.0	45691.0	59749.00000000001	25966.999999999996	15860.0	0	0	666.0	1061.0	311.0	0	0	0	0	0	115.00000000000001	50.0	0	9.0	0	0	0	0
EC-01H	66592.99999999999	2774.9999999999995	69368.00000000001	90167.0	36938.99999999999	26796.0	0	0	935.0000000000001	1646.0000000000005	42.0	0	0	0	0	0	137.99999999999997	70.99999999999999	0	26.0	0	0	0	0
EC-01I	52339.00000000001	1485.0000000000002	53824.0	71212.99999999999	28106.0	21215.000000000004	0	0	741.9999999999998	1975.0000000000002	140.0	0	0	0	0	0	103.99999999999999	38.99999999999999	0	18.0	0	0	0	0
EC-01J	83792.00000000001	3010.0	86801.99999999997	113172.99999999997	46899.00000000001	30668.000000000004	0	0	1540.9999999999993	4327.000000000001	57.0	0	0	0	0	0	183.0	93.99999999999999	0	23.000000000000007	0	0	0	0
EC-01K	62134.0	2882.0	65015.999999999985	81213.00000000001	20782.00000000001	28768.000000000007	0	0	476.0000000000003	11846.000000000002	45.99999999999999	0	0	0	0	0	94.99999999999996	72.99999999999999	0	48.000000000000014	0	0	0	0
EC-01L	74544.0	2938.0000000000005	77482.00000000001	106536.00000000001	40033.99999999999	29566.00000000001	0	0	1179.9999999999998	3409.000000000001	31.0	0	0	0	0	0	169.0	106.0	0	49.000000000000014	0	0	0	0
EC-01M	74698.00000000001	2082.0	76780.0	101316.99999999999	41033.999999999985	25268.999999999996	0	0	1142.0	6932.0	50.99999999999999	0	0	0	0	0	152.0	88.99999999999997	0	28.999999999999993	0	0	0	0
EC-01N	83403.0	2932.0	86335.0	110948.0	49341.99999999998	29584.999999999993	0	0	1417.999999999999	2709.0	32.999999999999986	0	0	0	0	0	164.99999999999997	104.99999999999999	0	46.0	0	0	0	0
EC-01O	74909.99999999999	2700.999999999999	77610.99999999997	97831.00000000003	41670.00000000001	30359.999999999996	0	0	992.0000000000001	1543.0	96.00000000000001	0	0	0	0	0	155.0	60.00000000000001	0	34.00000000000001	0	0	0	0
EC-01P	23271	354	23625	24727	13835	7496	0	0	268	1442	187	0	0	0	0	0	32	2	0	9	0	0	0	0
EC-02	896287.9999999992	33553.00000000003	929840.9999999986	1167468.999999999	509029.99999999977	375630.99999999965	0	0	11626.999999999985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02A	64385.99999999999	2627.000000000001	67013.0	85516.0	32311.0	31482.0	0	0	593.0000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02B	57743.0	2566.0000000000005	60308.99999999998	80589.0	28830.000000000004	28624.0	0	0	288.9999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02C	70933.99999999997	3044.000000000001	73978.00000000001	92027.00000000001	40683.999999999985	29617.000000000004	0	0	633.0000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02D	62614.99999999996	2228.0000000000005	64843.0	77103.99999999999	32951.00000000001	29141.000000000007	0	0	522.9999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02E	69103.99999999997	2739.0000000000005	71843.00000000001	89455.00000000003	37512.0	30492.0	0	0	1100.0000000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02F	70192.0	2288.0000000000005	72480.0	89191.99999999999	39892.999999999985	29455.0	0	0	844.0000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02G	70746.99999999997	2638.0000000000005	73384.99999999999	91907.00000000006	45629.0	24269.000000000004	0	0	849.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02H	76295.0	2456.0000000000005	78751.00000000001	100416.00000000001	47822.000000000015	27133.000000000004	0	0	1340.0000000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02I	73659.0	2567.0	76226.0	97305.00000000004	40838.00000000001	31851.0	0	0	970.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02J	73734.99999999997	2685.0	76420.00000000004	98090.99999999999	43413.0	29172.999999999996	0	0	1149.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02K	62989.99999999999	2330.999999999999	65320.99999999996	80414.99999999999	35849.0	26552.000000000004	0	0	589.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02L	61304.0	2373.0	63677.0	80600.00000000001	34719.0	25537.000000000007	0	0	1048.0000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02M	57779.00000000001	2271.0000000000005	60050.00000000001	78190.99999999999	32960.99999999999	23504.0	0	0	1314.0000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02P	24805	740	25545	26661	15618	8801	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03	505359.99999999977	25397.000000000025	530757.0	661792.9999999995	271753.9999999999	221115.00000000003	0	0	6237.999999999991	5914.000000000001	0	0	0	0	0	0	0	0	339.00000000000006	0	0	0	0	0
EC-03A	67174.99999999999	2642.0	69817.0	89553.99999999999	39309.00000000001	25691.999999999993	0	0	970.0	1163.0000000000005	0	0	0	0	0	0	0	0	41.0	0	0	0	0	0
EC-03B	67417.00000000001	3058.9999999999995	70475.99999999999	86676.0	37374.000000000015	28531.0	0	0	774.0000000000005	706.9999999999994	0	0	0	0	0	0	0	0	31.000000000000004	0	0	0	0	0
EC-03C	61272.0	2655.9999999999995	63927.99999999999	77877.00000000003	32374.0	27561.999999999985	0	0	515.0000000000001	770.9999999999998	0	0	0	0	0	0	0	0	49.99999999999999	0	0	0	0	0
EC-03D	48685.0	3121.0000000000005	51805.99999999997	63130.99999999996	24364.000000000004	23755.0	0	0	226.0	304.99999999999994	0	0	0	0	0	0	0	0	34.999999999999986	0	0	0	0	0
EC-03E	58726.99999999999	4033.9999999999986	62761.0	80135.0	30514.000000000015	26520.000000000007	0	0	968.9999999999998	669.9999999999999	0	0	0	0	0	0	0	0	53.99999999999998	0	0	0	0	0
EC-03F	63692.000000000015	3029.0000000000005	66721.0	86436.99999999997	34349.00000000001	27481.999999999996	0	0	1107.0	727.0000000000001	0	0	0	0	0	0	0	0	27.00000000000001	0	0	0	0	0
EC-03G	64376.0	2805.0000000000005	67181.0	83849.00000000001	33685.99999999999	29062.999999999993	0	0	808.9999999999999	776.0	0	0	0	0	0	0	0	0	41.999999999999986	0	0	0	0	0
EC-03H	59165.00000000003	3817.9999999999977	62982.99999999999	78540.00000000001	31009.000000000025	27006.999999999985	0	0	693.0000000000002	401.9999999999999	0	0	0	0	0	0	0	0	54.00000000000001	0	0	0	0	0
EC-03P	14851	233	15084	15594	8775	5503	0	0	175	393	0	0	0	0	0	0	0	0	5	0	0	0	0	0
EC-04	576552.0	31018.999999999985	607570.9999999999	743938.9999999992	267682.99999999953	301824.0000000005	0	0	3071.9999999999995	3495.0	0	0	207.99999999999986	0	0	0	0	0	0	0	0	270.0	0	0
EC-04A	33374.99999999999	1647.9999999999998	35023.0	43461.999999999985	14762.00000000001	18240.000000000007	0	0	144.00000000000003	205.00000000000006	0	0	9.999999999999998	0	0	0	0	0	0	0	0	14.000000000000002	0	0
EC-04B	84443.00000000001	4352.0	88794.99999999997	109245.99999999999	41035.00000000001	42356.00000000001	0	0	545.9999999999999	424.9999999999997	0	0	35.0	0	0	0	0	0	0	0	0	46.00000000000001	0	0
EC-04C	43754.0	2730.999999999999	46485.0	57481.999999999985	17815.999999999993	25470.999999999996	0	0	186.00000000000003	240.00000000000006	0	0	20.999999999999996	0	0	0	0	0	0	0	0	20.0	0	0
EC-04D	34915.999999999985	2149.000000000001	37065.0	42700.0	16589.999999999996	18115.999999999993	0	0	92.99999999999999	74.99999999999999	0	0	17.000000000000004	0	0	0	0	0	0	0	0	25.00000000000001	0	0
EC-04E	26064.000000000004	1766.0000000000002	27830.000000000007	32992.0	12457.000000000002	13408.0	0	0	99.0	68.00000000000001	0	0	14.999999999999998	0	0	0	0	0	0	0	0	17.000000000000004	0	0
EC-04F	43651.0	2434.0000000000005	46085.00000000002	56925.00000000001	20461.000000000007	22433.999999999996	0	0	318.0	402.00000000000017	0	0	10.0	0	0	0	0	0	0	0	0	26.000000000000007	0	0
EC-04G	37733.99999999999	2611.0	40344.99999999999	50376.0	15364.999999999996	22141.0	0	0	91.99999999999997	106.99999999999997	0	0	12.999999999999998	0	0	0	0	0	0	0	0	15.999999999999996	0	0
EC-04H	42114.0	1609.9999999999998	43724.00000000001	55740.0	20318.000000000004	21005.0	0	0	286.00000000000006	474.0	0	0	17.000000000000004	0	0	0	0	0	0	0	0	14.0	0	0
EC-04I	24443.000000000004	843.0	25286.000000000004	32334.999999999993	10590.999999999998	13342.0	0	0	140.0	354.99999999999994	0	0	7.000000000000001	0	0	0	0	0	0	0	0	8.000000000000002	0	0
EC-04J	45366.00000000001	2121.9999999999995	47488.000000000015	58455.000000000044	23096.000000000004	21601.999999999996	0	0	350.0	288.0	0	0	15.0	0	0	0	0	0	0	0	0	15.0	0	0
EC-04K	43945.99999999999	2238.0	46183.99999999998	56671.00000000001	21635.000000000007	21586.000000000007	0	0	310.99999999999994	383.9999999999997	0	0	17.0	0	0	0	0	0	0	0	0	13.000000000000004	0	0
EC-04L	51280.00000000002	3117.0000000000005	54396.999999999985	66812.0	22961.999999999996	27941.999999999985	0	0	174.0	155.99999999999997	0	0	15.999999999999996	0	0	0	0	0	0	0	0	30.000000000000004	0	0
EC-04M	48612.00000000001	3148.0000000000005	51760.00000000002	62996.00000000001	21402.0	26836.000000000007	0	0	210.99999999999994	129.00000000000006	0	0	12.000000000000004	0	0	0	0	0	0	0	0	21.99999999999999	0	0
EC-04P	16854	250	17104	17747	9193	7345	0	0	122	187	0	0	3	0	0	0	0	0	0	0	0	4	0	0
EC-05	205961.99999999997	12645.99999999999	218607.99999999985	266974.00000000023	102679.99999999994	100120.99999999996	0	0	1433.0000000000011	0	1728.0000000000018	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05A	65950.99999999999	3880.999999999998	69831.99999999999	85869.99999999997	34285.99999999998	30468.000000000007	0	0	599.9999999999997	0	596.9999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05B	39208.0	2618.0000000000023	41825.99999999998	48524.999999999985	20647.999999999993	17969.999999999996	0	0	153.0	0	437.00000000000006	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05C	43685.0	2630.0000000000014	46315.00000000003	58638.00000000001	20607.000000000004	22446.0	0	0	338.00000000000006	0	293.9999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05D	49795.00000000001	3393.000000000001	53188.0	66238.0	22856.0	26283.0	0	0	266.0	0	389.9999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05P	7323	124	7447	7703	4283	2954	0	0	76	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06	301917.9999999998	21592.00000000002	323509.99999999994	392770.0	97658.0	175478.0	0	0	928.0000000000003	480.0	27373.999999999993	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06A	159291.00000000003	13367.999999999998	172659.00000000006	212689.99999999997	39476.0	94892.99999999999	0	0	452.9999999999999	220.99999999999991	24247.999999999993	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06B	44547.99999999997	2607.000000000001	47154.999999999985	56976.99999999999	16112.000000000002	26541.99999999999	0	0	193.99999999999997	89.99999999999997	1609.9999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06C	42940.99999999999	2526.0	45466.99999999997	54000.99999999998	17903.999999999996	24783.0	0	0	129.99999999999997	55.999999999999986	68.0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06D	49362.99999999997	2997.000000000001	52359.999999999985	63000.00000000002	21453.000000000004	26534.000000000007	0	0	106.99999999999997	80.00000000000001	1189.0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06P	5775	94	5869	6102	2713	2726	0	0	44	33	259	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07	492913.9999999997	20762.999999999978	513677.00000000035	645558.9999999998	277956.0	203267.99999999977	0	0	7238.9999999999945	4144.999999999998	0	0	0	0	0	0	0	0	305.9999999999997	0	0	0	0	0
EC-07A	31678.000000000004	1379.9999999999998	33058.0	43988.0	16907.0	14238.999999999998	0	0	420.99999999999994	99.0	0	0	0	0	0	0	0	0	12.000000000000002	0	0	0	0	0
EC-07B	43032.000000000015	1801.0	44833.0	56041.000000000015	24416.99999999999	17643.0	0	0	780.0000000000001	171.99999999999991	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0
EC-07C	38645.0	1974.9999999999998	40620.00000000001	53066.000000000015	21879.999999999993	15830.0	0	0	804.9999999999999	104.99999999999997	0	0	0	0	0	0	0	0	25.000000000000004	0	0	0	0	0
EC-07D	54447.00000000001	2417.9999999999995	56865.0	71765.00000000001	31221.999999999996	22059.0	0	0	939.9999999999998	201.9999999999999	0	0	0	0	0	0	0	0	23.999999999999993	0	0	0	0	0
EC-07E	60686.000000000015	2747.000000000001	63433.00000000001	74336.99999999997	33647.99999999999	26099.0	0	0	601.0000000000001	295.99999999999994	0	0	0	0	0	0	0	0	42.0	0	0	0	0	0
EC-07F	58418.99999999998	2937.0000000000023	61356.0	74331.0	33571.99999999999	23873.99999999999	0	0	504.9999999999999	389.0	0	0	0	0	0	0	0	0	79.00000000000003	0	0	0	0	0
EC-07G	48910.00000000002	2132.000000000001	51042.00000000002	66221.0	27242.99999999999	20412.000000000004	0	0	891.0000000000001	340.0	0	0	0	0	0	0	0	0	23.999999999999986	0	0	0	0	0
EC-07H	44842.0	1418.0	46260.00000000001	62011.0	23347.000000000004	19885.0	0	0	612.0000000000001	983.0000000000003	0	0	0	0	0	0	0	0	15.000000000000004	0	0	0	0	0
EC-07I	49975.000000000015	1807.9999999999993	51783.00000000002	64320.000000000015	28027.00000000001	20575.999999999996	0	0	645.0	704.0	0	0	0	0	0	0	0	0	23.000000000000004	0	0	0	0	0
EC-07J	49834.00000000001	1961.9999999999995	51795.99999999998	66342.00000000003	29716.00000000001	18528.000000000007	0	0	819.0000000000001	731.9999999999999	0	0	0	0	0	0	0	0	39.00000000000001	0	0	0	0	0
EC-07P	12446	185	12631	13137	7977	4123	0	0	220	123	0	0	0	0	0	0	0	0	3	0	0	0	0	0
EC-08	379466.99999999994	17166.999999999993	396633.99999999994	511109.0000000001	227285.0	142024.00000000006	0	0	8735.999999999996	1422.0000000000023	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08A	55607.0	3330.0	58936.999999999985	71106.00000000001	30742.999999999996	23929.999999999985	0	0	755.9999999999997	177.99999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08B	52614.00000000001	2964.999999999999	55579.00000000003	70889.0	30834.000000000007	20608.000000000007	0	0	990.9999999999998	180.99999999999994	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08C	56637.0	2673.999999999999	59311.00000000002	74562.0	32837.0	21999.000000000004	0	0	1554.0000000000002	247.00000000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08D	49716.99999999999	2318.0000000000005	52035.000000000015	69050.00000000001	32317.99999999999	16068.999999999993	0	0	1097.9999999999993	231.99999999999991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08E	48935.000000000015	1841.0	50775.99999999999	66923.0	28190.999999999985	19335.000000000004	0	0	1303.9999999999998	105.00000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08F	53054.0	1631.9999999999998	54686.00000000001	73461.0	32629.000000000007	18915.0	0	0	1264.0	245.99999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08G	55555.000000000015	2325.0	57879.99999999998	77479.00000000004	34760.0	19012.999999999993	0	0	1600.0000000000002	181.99999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08P	7348	82	7430	7639	4973	2155	0	0	169	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-09	246678.99999999997	13538.999999999996	260218.0000000002	332804.9999999996	132007.99999999988	95382.00000000009	0	0	15308.999999999995	2079.999999999998	997.0000000000001	0	468.00000000000017	0	0	0	0	0	168.00000000000009	0	0	0	267.00000000000017	0
EC-09A	53720.000000000015	3762.9999999999986	57483.0	73235.99999999999	28181.0	22078.000000000007	0	0	2679.0	287.99999999999983	297.9999999999998	0	117.0	0	0	0	0	0	47.0	0	0	0	31.999999999999996	0
EC-09B	48331.00000000003	2333.0000000000005	50664.00000000002	66090.99999999999	25501.000000000007	18642.999999999996	0	0	3169.0000000000005	679.9999999999999	153.99999999999994	0	111.99999999999996	0	0	0	0	0	23.0	0	0	0	49.00000000000001	0
EC-09C	60895.00000000001	3239.0	64133.99999999999	80916.99999999999	33090.000000000015	22882.000000000004	0	0	4054.000000000001	442.9999999999999	230.0	0	113.0	0	0	0	0	0	51.00000000000006	0	0	0	32.00000000000001	0
EC-09D	78135.99999999999	4116.000000000002	82251.99999999999	106669.00000000003	41739.00000000002	30056.000000000022	0	0	5151.000000000002	554.0	315.00000000000006	0	125.99999999999999	0	0	0	0	0	45.99999999999999	0	0	0	149.00000000000003	0
