entity_id	valid	rejected	polled	electors	UNP	UPFA	JVP	ITAK	SLMC	EPDP	ACMC	DP	BJP	AITC	CWC	FSP	UPP	PP	TULF	EDF	ONF	USP	JSP	AITM	IG0	IG1	OWORS	NSSP	SLMP	NSU	UPF	ELPP	MJP	SEP	SLNF	TLP	DUA	SLLP	SLVP	DNM	IG3	MNA	IG2
EC-01	1207949.0	43371.99999999994	1252271.0	1612984.0	640743.0000000001	474062.99999999977	81391.0	0	0	0	0	5237.999999999996	2137.0000000000023	0	0	462.9999999999997	422.00000000000034	0	722.9999999999992	0	496.9999999999994	429.0000000000004	295.9999999999998	104.0	103.0	137.00000000000006	0	302.9999999999999	0	33.000000000000014	133.99999999999997	82.00000000000007	55.0	124.99999999999997	13.999999999999993	22.999999999999982	0	0	49.0	0	0	0	0
EC-01A	63114.00000000001	4055.0	67247.99999999999	89771.0	50571.0	10256.0	1647.0	0	0	0	0	121.00000000000001	45.0	0	0	23.0	49.0	0	162.0	0	17.0	64.0	2.9999999999999996	17.0	4.999999999999999	18.0	0	18.0	0	2.0	4.0	2.0	2.0	2.0	0.0	4.0	0	0	1.0	0	0	0	0
EC-01B	94380.99999999999	5331.999999999999	99808.99999999999	131482.0	79967.99999999999	11488.999999999998	2109.0000000000005	0	0	0	0	208.99999999999997	68.00000000000001	0	0	9.0	63.0	0	86.0	0	19.0	78.0	25.000000000000004	20.999999999999996	13.0	11.000000000000002	0	104.99999999999999	0	0.0	3.999999999999999	6.999999999999998	0.9999999999999998	3.999999999999999	0.9999999999999998	1.9999999999999996	0	0	0.0	0	0	0	0
EC-01C	43702.0	1902.0	45638.0	60108.99999999999	28968.0	11842.000000000002	2282.0	0	0	0	0	284.0	100.0	0	0	9.000000000000002	23.0	0	23.0	0	13.0	31.000000000000004	26.0	4.0	10.0	8.0	0	11.0	0	2.0	2.0	0.0	3.0	4.0	1.0	2.0	0	0	0.0	0	0	0	0
EC-01D	48001.0	2043.0	50098.99999999999	66940.99999999999	31449.999999999996	12917.0	2959.9999999999995	0	0	0	0	238.0	169.0	0	0	21.0	22.999999999999996	0	98.99999999999999	0	11.0	21.0	13.999999999999998	5.999999999999999	13.999999999999998	2.9999999999999996	0	8.0	0	0.0	2.9999999999999996	5.999999999999999	2.0	8.0	0.0	1.0	0	0	1.0	0	0	0	0
EC-01E	27467.0	1237.0	28775.0	40609.0	22060.0	4204.0	875.0	0	0	0	0	71.0	36.0	0	0	3.0	11.0	0	112.0	0	4.0	10.0	3.0	5.0	11.0	5.0	0	28.0	0	0.0	4.0	2.0	0.0	5.0	0.0	1.0	0	0	1.0	0	0	0	0
EC-01F	44254.000000000015	1330.0000000000002	45618.999999999985	59812.00000000001	28153.0	13273.0	2366.0	0	0	0	0	204.00000000000003	94.0	0	0	19.0	16.0	0	44.0	0	16.0	13.000000000000002	5.0	6.000000000000002	2.0	4.0	0	19.0	0	0.0	2.0	0.0	4.0	4.0	1.0	5.0	0	0	1.0	0	0	0	0
EC-01G	49351.0	1633.9999999999998	51028.00000000001	66793.0	26412.000000000004	19203.0	3217.0000000000005	0	0	0	0	214.0	138.0	0	0	24.0	16.000000000000004	0	17.0	0	25.0	16.000000000000004	1.0000000000000002	2.0000000000000004	3.0	9.0	0	28.0	0	0.0	7.0	3.0	2.0000000000000004	8.000000000000002	0.0	0.0	0	0	0.0	0	0	0	0
EC-01H	91484.99999999997	3283.000000000001	94859.0	120616.99999999999	49196.0	35299.99999999999	6158.999999999999	0	0	0	0	292.9999999999999	229.0	0	0	26.0	30.99999999999999	0	57.99999999999999	0	30.000000000000004	38.99999999999999	30.000000000000004	9.0	4.999999999999999	15.000000000000002	0	8.000000000000002	0	3.0	9.999999999999998	7.0	3.0	7.0	0.0	1.0000000000000002	0	0	4.000000000000001	0	0	0	0
EC-01I	55795.99999999999	1457.0	57300.0	74933.99999999999	30247.0	20797.0	4075.0	0	0	0	0	326.99999999999994	147.0	0	0	16.0	21.000000000000004	0	8.0	0	23.0	20.0	24.999999999999996	5.0	20.0	6.999999999999999	0	11.0	0	2.0	5.0	2.0	5.0	2.0	1.0	2.0	0	0	2.9999999999999996	0	0	0	0
EC-01J	131389.0	3535.9999999999995	135028.99999999997	173354.99999999997	56153.999999999985	62136.00000000001	11971.000000000002	0	0	0	0	564.0000000000001	199.00000000000006	0	0	46.000000000000014	41.00000000000001	0	15.999999999999998	0	63.000000000000014	31.000000000000007	52.0	6.000000000000001	3.0000000000000004	10.999999999999998	0	10.0	0	3.9999999999999996	19.000000000000004	20.0	1.9999999999999998	9.000000000000002	0.9999999999999999	0.9999999999999999	0	0	6.000000000000001	0	0	0	0
EC-01K	86859.99999999996	4044.000000000001	90952.0	117471.99999999999	39106.0	42894.99999999999	4346.0	0	0	0	0	171.99999999999997	85.99999999999999	0	0	56.0	28.0	0	28.0	0	50.00000000000002	21.999999999999996	12.000000000000004	5.000000000000001	3.000000000000001	8.999999999999998	0	10.000000000000002	0	0.9999999999999999	10.999999999999998	3.000000000000001	1.9999999999999998	5.000000000000001	1.9999999999999998	0.9999999999999999	0	0	1.9999999999999998	0	0	0	0
EC-01L	130688.99999999997	4026.0	134765.99999999997	174908.99999999994	52336.000000000015	66449.99999999999	10719.0	0	0	0	0	677.9999999999999	206.99999999999997	0	0	40.99999999999999	31.0	0	1.0	0	70.99999999999999	19.999999999999996	24.0	7.0	3.0	14.999999999999998	0	9.999999999999998	0	4.999999999999999	27.000000000000004	8.0	13.000000000000004	9.999999999999998	3.0	1.0	0	0	4.999999999999999	0	0	0	0
EC-01M	98483.0	2492.0	101040.00000000003	129800.99999999999	41374.00000000001	47049.0	9001.000000000002	0	0	0	0	583.9999999999999	206.99999999999994	0	0	72.0	21.0	0	5.999999999999998	0	42.0	10.000000000000002	31.000000000000004	2.999999999999999	2.0	6.999999999999998	0	9.0	0	2.999999999999999	5.999999999999998	1.0	2.999999999999999	21.0	2.0	0.0	0	0	15.0	0	0	0	0
EC-01N	127182.99999999997	3451.9999999999995	130691.99999999996	164774.0	49636.99999999998	65243.000000000015	11193.000000000002	0	0	0	0	580.0	223.99999999999997	0	0	58.99999999999997	18.999999999999996	0	6.999999999999999	0	71.0	30.999999999999993	23.999999999999996	2.9999999999999996	4.999999999999999	6.999999999999999	0	8.000000000000002	0	4.999999999999999	11.999999999999998	14.999999999999998	4.000000000000001	18.999999999999996	1.0000000000000002	1.0000000000000002	0	0	5.999999999999999	0	0	0	0
EC-01O	89976.00000000001	2990.0	93031.00000000003	115219.0	43665.0	40141.99999999999	5383.999999999999	0	0	0	0	420.00000000000006	134.00000000000003	0	0	17.000000000000004	20.0	0	36.0	0	38.99999999999999	18.999999999999996	17.000000000000004	3.0000000000000004	3.0000000000000004	4.0	0	18.0	0	5.0	15.000000000000002	6.000000000000001	5.0	16.0	1.0	1.0	0	0	2.0	0	0	0	0
EC-01P	25818	559	26386	26386	11446	10867	3087	0	0	0	0	279	54	0	0	22	9	0	20	0	3	4	4	2	1	4	0	2	0	1	3	0	4	1	0	0	0	0	2	0	0	0	0
EC-02	1223173.9999999988	56245.99999999996	1280647.000000001	1678383.0000000012	577004.0000000002	549958.0000000003	87879.99999999997	0	0	0	0	4706.000000000005	1664.0000000000016	0	0	693.0000000000006	414.99999999999955	0	0	0	0	0	185.00000000000028	0	32.99999999999997	129.0	184.00000000000026	140.99999999999997	0	0	77.00000000000016	0	40.99999999999998	0	0	0	0	0	0	0	0	0	0
EC-02A	87426.99999999999	4392.0	91910.0	120471.0	51011.00000000001	30743.000000000007	5141.000000000001	0	0	0	0	314.99999999999994	77.0	0	0	55.0	40.999999999999986	0	0	0	0	0	6.000000000000003	0	3.0000000000000013	10.0	1.9999999999999998	10.0	0	0	6.999999999999999	0	0.9999999999999999	0	0	0	0	0	0	0	0	0	0
EC-02B	71695.0	4191.0	75962.0	106213.00000000003	48516.999999999985	18928.0	3901.999999999999	0	0	0	0	221.00000000000003	14.000000000000004	0	0	35.00000000000001	37.00000000000001	0	0	0	0	0	5.000000000000001	0	1.0	10.999999999999996	6.0	8.999999999999996	0	0	3.0	0	3.0	0	0	0	0	0	0	0	0	0	0
