entity_id	valid	rejected	polled	electors	SLPP	SJB	JJB	ITAK	UNP	AITC	OPPP	TMVP	SLFP	EPDP	MNA	TMTK	ACMC	NC	SLMC	UPA	AITM	IND01_D04	IND01_D06	IND05_D10	JSWP	FSP	IND11_D04	SDPT	TULF	SPS	JSP	IND01_D03	IND04_D02	IND02_D10	SJP	NEWDF	ULF	IND05_D03	LP	IND08_D06	NPP	DUNF	IND02_D19	NDF	IND10_D06	IND09_D10	IND01_D11	SLLP	IND06_D21	DLF	IND03_D05	IND10_D15	IND03_D11	IND07_D08	IND02_D15	IND08_D10	IND07_D01	IND03_D19	IND09_D02	IND17_D01	IND04_D06	IND04_D14	IND09_D17	IND02_D21	NSU	IND09_D11	IND10_D12	IND02_D06	IND02_D01	USP	IND19_D01	IND01_D16	IND14_D10	MJP	IND01_D17	IND20_D11	EDF	IND05_D11	IND14_D12	IND06_D06	IND18_D02	IND06_D04	IND08_D01	IND12_D03	IND06_D12	IND04_D10	IND19_D12	SEP	IND12_D07	IND02_D04	LSSP	IND22_D11	IND24_D13	IND07_D22	IND09_D19	IND10_D01	IND11_D02	IND22_D12	IND11_D01	IND02_D03	IND01_D09	OWORS	IND12_D06	IND07_D10	IND17_D12	IND13_D01	IND14_D14	IND01_D21	IND05_D17	IND24_D11	IND15_D01	IND13_D02	IND10_D04	IND04_D13	IND03_D20	IND03_D15	IND03_D02	IND09_D13	IND26_D13	IND15_D11	IND02_D07	IND12_D13	IND27_D13	IND03_D18	IND24_D01	IND05_D01	IND03_D06	IND10_D17	IND10_D05	IND04_D17	IND05_D05	IND07_D11	IND12_D04	IND01_D01	IND28_D11	IND13_D03	IND03_D10	IND18_D13	IND06_D05	IND13_D07	IND15_D02	IND12_D19	IND02_D14	IND07_D06	IND10_D19	IND01_D15	IND07_D04	IND02_D11	IND09_D12	IND07_D05	IND09_D15	IND09_D16	IND03_D01	IND10_D11	IND25_D01	IND05_D19	IND07_D15	IND13_D06	IND07_D09	IND04_D01	IND05_D21	IND01_D07	IND04_D21	IND26_D01	IND09_D01	IND11_D19	IND11_D06	IND05_D06	IND03_D03	IND03_D22	IND20_D01	IND01_D22	IND07_D17	IND06_D01	IND14_D02	IND25_D11	IND02_D20	IND04_D16	IND06_D13	IND04_D08	IND01_D14	IND03_D04	IND18_D12	IND17_D02	IND18_D11	IND19_D11	IND08_D15	IND06_D17	IND21_D01	IND08_D05	IND12_D02	IND04_D20	IND01_D20	IND01_D19	IND04_D03	IND05_D22	IND12_D10	IND04_D19	IND06_D02	IND16_D16	IND07_D20	IND01_D10	IND12_D01	IND06_D10	IND15_D12	IND01_D18	IND14_D11	IND11_D07	IND05_D02	IND20_D13	IND07_D03	IND01_D05	IND11_D13	IND08_D11	IND08_D03	IND11_D16	IND03_D17	IND10_D14	IND06_D08	IND08_D13	IND34_D13	IND10_D02	IND05_D09	IND03_D21	IND17_D13	IND09_D04	IND04_D22	IND02_D02	IND01_D02	IND05_D04	IND02_D17	IND22_D01	IND08_D09	IND05_D08	IND08_D17	IND27_D11	IND07_D12	IND20_D12	IND08_D07	IND02_D13	IND16_D02	IND07_D02	IND06_D19	IND10_D03	IND06_D22	IND13_D10	IND04_D11	IND18_D01	IND07_D18	IND10_D13	IND14_D13	IND10_D10	IND05_D20	IND06_D20	DUA	IND08_D19	IND15_D16	IND19_D16	IND08_D04	IND11_D11	IND09_D06	IND09_D03	IND11_D03	IND04_D04	IND04_D15	IND02_D05	IND09_D05	IND11_D14	IND09_D20	IND14_D16	IND04_D07	IND05_D07	IND08_D12	IND07_D19	IND11_D10	IND17_D16	IND02_D22	IND08_D18	IND16_D12	IND21_D11	IND06_D07	IND06_D18	IND06_D15	IND05_D15	IND23_D11	IND05_D14	IND08_D20	IND10_D16	IND04_D05	IND10_D07	IND07_D07	IND13_D12	IND09_D07	IND04_D12	IND12_D16	IND08_D14	IND21_D13	IND14_D01	IND02_D16	IND08_D02	IND03_D07	IND16_D11	IND06_D03	IND16_D01	IND02_D09	IND26_D11	IND03_D12	IND07_D13	IND18_D16	IND13_D14	IND07_D16	IND06_D09	IND02_D12	IND03_D08	IND01_D12	IND28_D13	IND04_D18	IND03_D14	IND12_D11	IND07_D14	IND33_D13	IND03_D16	IND05_D13	IND15_D13	IND23_D01	IND01_D08	IND31_D13	IND12_D12	IND13_D11	IND02_D08	IND04_D09	IND19_D13	IND05_D16	IND13_D13	IND22_D13	IND03_D09	IND05_D18	IND23_D13	IND29_D13	IND25_D13	IND08_D16	IND06_D11	IND02_D18	IND30_D13	IND12_D14	IND13_D16	IND06_D16	IND01_D13	IND06_D14	IND16_D13	IND17_D11	IND05_D12	IND21_D12	IND11_D12	IND03_D13	IND32_D13	IND09_D14
EC-01	1182775.9999999998	81034.00000000003	1263809.9999999998	1709208.9999999995	674603.0	387144.99999999994	67600.00000000006	0	30874.999999999978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2343.000000000001	1084.999999999999	0	0	0	642.0	420.99999999999994	0	0	0	515.0000000000002	0	678.0000000000006	0	799.9999999999997	0	883.9999999999991	470.9999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1921.0000000000018	0	0	1627.0000000000007	0	0	0	0	294.00000000000006	0	0	0	1203.9999999999995	342.0000000000002	1181.0000000000023	0	0	0	0	0	0	0	0	0	0	0	895.9999999999997	0	0	0	0	303.0000000000003	0	0	0	0	0	0	0	698.0000000000002	0	0	651.9999999999997	0	0	0	0	0	0	617.9999999999997	0	0	0	0	583.0000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	482.00000000000006	462.99999999999983	0	0	0	0	0	0	0	395.99999999999983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322.9999999999999	0	310.0000000000001	0	0	0	0	300.00000000000006	0	0	0	296.99999999999994	291.0000000000002	0	0	0	0	0	275.0000000000003	0	0	264.99999999999955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.99999999999983	0	0	0	0	0	0	0	0	0	0	0	0	0	215.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.99999999999983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150.00000000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.99999999999999	0	0	0	0	0	78.0000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.99999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01A	63263.00000000001	7113.0	70376.0	93672.0	16775.000000000004	41059.00000000001	1230.0	0	2676.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.0	53.99999999999999	0	0	0	39.99999999999999	22.0	0	0	0	5.999999999999999	0	72.0	0	19.999999999999996	0	17.0	11.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.0	0	0	62.99999999999999	0	0	0	0	11.0	0	0	0	88.0	45.0	148.00000000000003	0	0	0	0	0	0	0	0	0	0	0	136.0	0	0	0	0	19.999999999999996	0	0	0	0	0	0	0	60.0	0	0	82.0	0	0	0	0	0	0	85.0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0	93.99999999999999	0	0	0	0	0	0	0	34.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	11.0	0	0	0	0	30.0	0	0	0	14.0	15.0	0	0	0	0	0	29.0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	26.999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01B	88143.0	8955.000000000002	97097.99999999997	126022.00000000003	16688.0	64692.0	1912.0	0	2978.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.99999999999997	23.000000000000004	0	0	0	30.999999999999996	30.000000000000004	0	0	0	9.0	0	70.0	0	28.99999999999999	0	23.000000000000004	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.999999999999986	0	0	37.00000000000001	0	0	0	0	11.999999999999996	0	0	0	181.0	40.00000000000001	166.00000000000003	0	0	0	0	0	0	0	0	0	0	0	177.0	0	0	0	0	28.99999999999999	0	0	0	0	0	0	0	55.999999999999986	0	0	161.0	0	0	0	0	0	0	92.00000000000001	0	0	0	0	28.99999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	30.000000000000004	94.0	0	0	0	0	0	0	0	20.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.999999999999993	0	78.0	0	0	0	0	72.0	0	0	0	30.000000000000004	5.000000000000001	0	0	0	0	0	55.0	0	0	26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.000000000000001	0	0	0	0	0	5.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01C	42335.0	3537.0	45871.99999999999	61897.00000000001	17680.0	20450.0	1931.0000000000002	0	1500.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.0	20.0	0	0	0	16.999999999999996	22.0	0	0	0	13.0	0	27.0	0	18.000000000000004	0	20.0	22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.0	0	0	37.0	0	0	0	0	21.0	0	0	0	31.000000000000004	9.000000000000002	68.99999999999999	0	0	0	0	0	0	0	0	0	0	0	42.99999999999999	0	0	0	0	10.0	0	0	0	0	0	0	0	5.0	0	0	33.0	0	0	0	0	0	0	26.0	0	0	0	0	16.999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	18.000000000000004	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0	19.0	0	0	0	0	19.0	0	0	0	20.0	8.0	0	0	0	0	0	11.0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01D	44092.0	3371.0	47463.0	67241.0	18007.0	20538.0	2594.9999999999995	0	1869.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.0	22.999999999999996	0	0	0	35.0	11.0	0	0	0	8.0	0	31.0	0	24.999999999999996	0	199.0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.0	0	0	42.0	0	0	0	0	19.0	0	0	0	47.0	21.0	47.0	0	0	0	0	0	0	0	0	0	0	0	38.0	0	0	0	0	23.999999999999996	0	0	0	0	0	0	0	22.999999999999996	0	0	38.0	0	0	0	0	0	0	26.999999999999996	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	13.0	0	0	0	0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	10.0	0	0	0	0	11.0	0	0	0	6.999999999999999	8.0	0	0	0	0	0	13.999999999999998	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01E	25489.0	1545.0000000000002	27034.0	41831.0	6294.0	16521.0	1074.0	0	1143.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0	13.0	0	0	0	13.0	9.0	0	0	0	4.0	0	11.0	0	17.0	0	14.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.0	0	0	13.0	0	0	0	0	4.0	0	0	0	19.0	7.0	23.0	0	0	0	0	0	0	0	0	0	0	0	26.999999999999996	0	0	0	0	9.0	0	0	0	0	0	0	0	11.0	0	0	4.0	0	0	0	0	0	0	21.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	9.0	0	0	0	0	0	0	0	60.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	6.0	0	0	0	0	5.0	0	0	0	2.0	12.0	0	0	0	0	0	13.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01F	41433.99999999999	2529.0	43963.0	62406.000000000015	18244.0	18610.999999999996	2094.0000000000005	0	1706.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.0	41.0	0	0	0	28.000000000000007	51.00000000000001	0	0	0	6.000000000000002	0	20.0	0	23.000000000000004	0	39.0	3.000000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.00000000000001	0	0	29.999999999999993	0	0	0	0	6.000000000000002	0	0	0	35.0	14.000000000000004	23.000000000000004	0	0	0	0	0	0	0	0	0	0	0	41.0	0	0	0	0	12.000000000000004	0	0	0	0	0	0	0	11.0	0	0	14.999999999999996	0	0	0	0	0	0	14.000000000000004	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	7.000000000000002	0	0	0	0	0	0	0	14.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	3.000000000000001	0	0	0	0	10.0	0	0	0	5.0	16.0	0	0	0	0	0	5.0	0	0	9.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01G	46301.00000000001	3254.0	49555.0	70528.0	25320.000000000004	15646.000000000002	2901.0	0	1440.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.00000000000003	57.00000000000001	0	0	0	37.00000000000001	12.999999999999998	0	0	0	11.0	0	23.0	0	29.000000000000004	0	28.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.00000000000003	0	0	67.0	0	0	0	0	16.000000000000004	0	0	0	83.0	7.0	34.0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0	0	15.000000000000004	0	0	0	0	0	0	0	10.0	0	0	12.0	0	0	0	0	0	0	20.999999999999996	0	0	0	0	29.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	33.0	12.999999999999998	0	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	47.00000000000001	0	0	0	0	7.0	0	0	0	4.000000000000001	44.0	0	0	0	0	0	6.0	0	0	8.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0000000000000004	0	0	0	0	0	1.0000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01H	95271.99999999999	6869.999999999999	102141.99999999997	136028.0	49741.99999999999	36718.0	4654.999999999998	0	2091.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.00000000000009	54.00000000000001	0	0	0	57.000000000000014	45.0	0	0	0	28.0	0	55.0	0	48.99999999999998	0	47.00000000000002	219.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.99999999999997	0	0	159.99999999999997	0	0	0	0	36.0	0	0	0	114.00000000000003	33.0	127.0	0	0	0	0	0	0	0	0	0	0	0	94.99999999999999	0	0	0	0	32.00000000000001	0	0	0	0	0	0	0	45.99999999999999	0	0	55.0	0	0	0	0	0	0	59.0	0	0	0	0	50.000000000000014	0	0	0	0	0	0	0	0	0	0	0	0	0	130.0	38.00000000000001	0	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.000000000000004	0	45.99999999999999	0	0	0	0	16.999999999999996	0	0	0	21.999999999999993	6.0	0	0	0	0	0	32.00000000000001	0	0	26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	43.00000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	0	4.000000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01I	50312.99999999999	2788.9999999999995	53102.0	75197.0	29436.000000000004	14945.999999999998	3405.0000000000005	0	1563.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.99999999999997	40.0	0	0	0	26.999999999999996	16.999999999999996	0	0	0	11.0	0	16.999999999999996	0	38.99999999999999	0	57.0	11.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.99999999999997	0	0	57.99999999999999	0	0	0	0	26.999999999999996	0	0	0	46.0	10.0	44.0	0	0	0	0	0	0	0	0	0	0	0	24.999999999999996	0	0	0	0	8.0	0	0	0	0	0	0	0	29.999999999999993	0	0	13.999999999999998	0	0	0	0	0	0	10.0	0	0	0	0	11.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	11.999999999999998	13.999999999999998	0	0	0	0	0	0	0	21.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.999999999999996	0	6.999999999999999	0	0	0	0	5.999999999999999	0	0	0	9.0	4.0	0	0	0	0	0	9.0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
