entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
EC-01	860386.0000000001	16060.000000000013	876446.0000000001	1259484.0	557707.9999999994	288740.9999999998	2525.9999999999995	6058.999999999997	3532.999999999997	1819.0000000000005
EC-01A	42608.00000000001	947.0	43555.0	63528.0	26250.0	15924.0	138.0	117.99999999999999	103.0	75.0
EC-01B	90999.0	2020.0000000000002	93019.00000000001	139012.0	56219.0	33824.0	270.99999999999994	245.0	290.99999999999994	149.00000000000003
EC-01C	34511.99999999999	617.0	35129.0	52007.0	20837.0	13161.999999999998	96.0	236.0	124.00000000000001	56.99999999999999
EC-01D	37415.0	843.0	38258.0	57049.0	23867.0	12806.0	114.99999999999999	373.0	182.0	72.0
EC-01E	23332.0	460.0	23791.999999999996	36915.0	14329.0	8557.0	68.0	179.0	180.0	19.0
EC-01F	37470.0	614.0000000000001	38084.00000000001	55301.0	23977.0	12783.000000000004	111.0	326.0	195.0	78.0
EC-01G	41519.0	886.9999999999999	42406.0	59749.00000000001	28666.000000000004	12274.999999999998	83.0	273.0	151.0	71.0
EC-01H	62498.0	1119.9999999999998	63618.0	90167.0	40296.0	21312.999999999996	202.00000000000003	330.0	201.00000000000006	155.99999999999997
EC-01I	48944.99999999999	761.9999999999999	49707.0	71212.99999999999	31646.0	16330.999999999998	118.0	521.0	231.99999999999997	96.99999999999999
EC-01J	76917.0	1444.9999999999998	78362.00000000001	113172.99999999997	51876.00000000001	23475.000000000007	240.99999999999997	599.0	521.0000000000002	204.99999999999997
EC-01K	55727.99999999999	1312.9999999999998	57041.000000000015	81213.00000000001	31132.000000000007	23125.999999999993	289.99999999999994	787.0	229.99999999999997	163.00000000000003
EC-01L	68618.99999999999	1102.0000000000002	69720.99999999999	106536.00000000001	45072.000000000015	22369.000000000004	279.00000000000006	444.00000000000017	283.99999999999994	171.00000000000003
EC-01M	68521.0	1328.0	69849.0	101316.99999999999	47818.0	19514.000000000004	158.0	638.0	240.0	153.0
EC-01N	77577.99999999997	1159.0000000000002	78737.00000000003	110948.0	54327.000000000015	22130.000000000004	209.99999999999997	464.0000000000001	267.99999999999994	179.0
EC-01O	70655.00000000001	987.9999999999997	71643.0	97831.00000000003	45402.99999999999	24493.000000000004	127.00000000000001	279.99999999999994	234.0	117.99999999999999
EC-01P	23070	455	23525	23525	15993	6659	19	246	97	56
EC-02	850517.9999999999	13137.000000000013	863655.0000000012	1164624.9999999993	550653.9999999992	288608.0000000003	3018.999999999999	3694.0	2710.9999999999995	1832.0000000000014
EC-02A	61720.0	921.9999999999999	62642.0	85516.0	37373.00000000001	23670.999999999996	180.00000000000003	183.00000000000003	213.99999999999994	98.99999999999997
EC-02B	54347.999999999985	760.9999999999999	55108.99999999999	80589.0	31648.000000000004	22131.0	183.99999999999997	133.00000000000003	171.99999999999997	80.00000000000001
EC-02C	68303.0	863.9999999999999	69167.0	92027.00000000001	42916.00000000001	24637.0	251.00000000000003	184.0	186.99999999999994	127.99999999999997
EC-02D	59637.00000000001	831.9999999999999	60468.99999999999	77103.99999999999	35220.00000000001	23748.999999999996	234.99999999999997	169.00000000000006	149.00000000000003	114.99999999999999
EC-02E	63820.999999999985	1445.9999999999995	65267.00000000001	89455.00000000003	40288.000000000015	22584.99999999999	248.00000000000006	269.9999999999999	207.99999999999997	222.00000000000006
EC-02F	65785.0	892.0	66677.0	89191.99999999999	42041.000000000015	22839.0	252.00000000000009	299.0	232.99999999999994	120.99999999999997
EC-02G	70511.0	1065.0	71576.00000000001	91907.00000000006	51922.99999999999	17436.999999999993	396.00000000000006	373.99999999999994	206.00000000000003	175.0
EC-02H	72302.0	958.0000000000002	73260.0	100416.00000000001	51196.999999999985	20094.000000000004	214.99999999999997	403.0	245.99999999999997	146.99999999999997
EC-02I	69229.99999999999	1141.0	70370.99999999999	97305.00000000004	44166.00000000001	24260.000000000004	152.0	266.0	236.0	149.99999999999991
EC-02J	69414.00000000001	1064.0000000000002	70478.0	98090.99999999999	46493.999999999985	21935.000000000004	251.00000000000017	310.99999999999994	234.99999999999997	188.00000000000003
EC-02K	59849.99999999999	867.0000000000001	60717.0	80414.99999999999	39151.0	19919.999999999996	282.99999999999994	227.9999999999999	152.00000000000003	116.0
EC-02L	57040.00000000001	929.9999999999998	57970.00000000001	80600.00000000001	36458.99999999999	19677.999999999993	201.0	339.99999999999994	234.99999999999986	127.0
EC-02M	55215.00000000001	920.0000000000003	56135.0	78190.99999999999	35601.0	18825.000000000004	151.0	344.0	187.0	107.0
EC-02P	23342	475	23817	23817	16177	6847	20	190	51	57
EC-03	481019.0000000003	7308.999999999986	488328.0000000002	660191.0000000002	295686.00000000006	178466.00000000015	2213.000000000001	1867.999999999999	1398.0000000000002	1387.9999999999982
EC-03A	63848.000000000015	921.9999999999998	64770.00000000001	89553.99999999999	42951.0	20032.000000000004	166.00000000000003	339.99999999999994	197.99999999999994	161.0
EC-03B	65099.999999999985	929.0000000000001	66029.0	86676.0	40502.99999999999	23655.00000000001	314.99999999999983	263.00000000000006	187.00000000000009	177.00000000000006
EC-03C	58922.00000000002	932.0000000000002	59854.00000000004	77877.00000000003	36064.0	21885.999999999996	351.0	262.0	212.00000000000003	146.99999999999994
EC-03D	47895.00000000001	772.0000000000005	48666.99999999997	63130.99999999996	27071.999999999993	20094.000000000004	281.00000000000006	172.0	131.00000000000003	145.00000000000003
EC-03E	55249.99999999999	1044.9999999999998	56295.0	80135.0	33725.999999999985	20667.000000000004	285.9999999999999	202.0	168.00000000000006	201.00000000000006
EC-03F	60492.99999999996	928.9999999999998	61421.99999999998	86436.99999999997	37489.999999999985	22209.0	237.00000000000009	226.00000000000003	170.00000000000003	161.00000000000003
EC-03G	60499.99999999999	660.0	61160.000000000015	83849.00000000001	36364.00000000001	23487.000000000004	245.99999999999994	115.0	134.99999999999997	153.0
EC-03H	55245.999999999985	893.0000000000002	56139.00000000002	78540.00000000001	32467.000000000004	21902.999999999993	321.99999999999994	189.99999999999991	162.99999999999997	200.99999999999994
EC-03P	13765	227	13992	13992	9049	4533	9	98	34	42
EC-04	565116.9999999998	14179.00000000003	579296.0	744150.9999999999	320110.0000000005	235518.99999999988	3748.000000000005	2618.000000000001	1752.0000000000025	1369.9999999999993
EC-04A	32625.000000000004	517.0000000000002	33142.0	43461.999999999985	17288.0	14862.0	201.00000000000003	118.0	94.99999999999997	60.99999999999999
EC-04B	82473.00000000001	1809.000000000001	84281.99999999996	109245.99999999999	48134.000000000015	33007.000000000015	582.0	303.0000000000001	227.99999999999997	219.0000000000002
EC-04C	43876.99999999999	1652.0000000000002	45528.99999999998	57481.999999999985	23082.000000000004	19994.999999999993	349.0	175.0	167.00000000000009	108.99999999999999
EC-04D	35434.99999999999	891.9999999999997	36326.99999999999	42700.0	22944.000000000004	11906.0	277.0	86.00000000000003	95.99999999999999	125.99999999999997
EC-04E	25556.000000000004	625.0	26181.000000000007	32992.0	14308.999999999996	10742.000000000002	237.99999999999991	92.00000000000001	89.99999999999996	85.00000000000003
EC-04F	43140.0	1081.0	44221.00000000002	56925.00000000001	24150.000000000004	18243.000000000004	285.00000000000006	238.00000000000003	122.00000000000001	102.0
EC-04G	37996.999999999985	920.9999999999995	38918.0	50376.0	19302.999999999993	18076.0	317.99999999999994	106.99999999999997	119.00000000000003	74.0
EC-04H	40166.99999999999	912.0000000000006	41079.00000000001	55740.0	22323.000000000007	17152.000000000004	171.99999999999997	335.00000000000006	122.99999999999999	62.0
EC-04I	23291.0	582.9999999999999	23874.0	32334.999999999993	12339.000000000002	10477.0	98.00000000000001	257.99999999999994	78.0	41.0
EC-04J	43399.00000000001	934.0	44332.99999999999	58455.000000000044	25099.00000000001	17621.0	225.99999999999997	220.0	102.99999999999999	130.00000000000003
EC-04K	42399.0	945.0000000000003	43344.000000000015	56671.00000000001	24198.99999999999	17442.000000000004	287.0	214.99999999999997	154.99999999999991	100.99999999999996
EC-04L	50066.99999999999	1523.9999999999998	51590.99999999999	66812.0	29557.999999999996	19692.000000000007	349.99999999999994	192.99999999999994	168.99999999999994	105.00000000000003
EC-04M	47007.0	1509.0	48515.99999999999	62996.00000000001	26785.000000000004	19422.999999999993	343.99999999999983	175.99999999999991	169.00000000000006	110.0
EC-04P	17684	275	17959	17959	10597	6881	21	102	38	45
EC-05	199164.00000000015	5316.999999999999	204480.99999999994	265743.00000000006	121448.99999999993	73323.99999999994	2110.9999999999995	992.0000000000005	607.9999999999995	680.0000000000005
EC-05A	62906.0	1458.0	64364.00000000005	85869.99999999997	37868.99999999998	23746.000000000007	601.9999999999999	273.00000000000006	186.99999999999991	229.00000000000006
EC-05B	40010.999999999985	897.0000000000001	40908.00000000002	48524.999999999985	26091.99999999999	13013.0	507.0	137.00000000000003	118.99999999999994	142.99999999999994
EC-05C	42170.0	1252.9999999999993	43422.999999999985	58638.00000000001	25234.000000000004	16006.0	379.0000000000001	288.0	126.00000000000007	137.0
EC-05D	47678.00000000001	1636.0	49314.0	66238.0	28300.000000000033	18187.0	617.9999999999997	249.99999999999994	168.99999999999997	154.00000000000003
EC-05P	6399	73	6472	6472	3954	2372	5	44	7	17
EC-06	295630.0000000001	11839.999999999995	307469.99999999977	393220.99999999977	168928.99999999997	116927.99999999997	6314.000000000002	1332.0000000000005	1083.0000000000011	1043.9999999999995
EC-06A	155091.0000000001	7411.999999999999	162502.99999999994	212689.99999999997	94262.0	53949.00000000001	4896.999999999998	774.9999999999997	590.0000000000002	617.9999999999999
EC-06B	42716.00000000001	1651.0	44367.00000000001	56976.99999999999	22034.000000000015	19708.000000000007	555.0	137.0	139.99999999999994	142.00000000000006
EC-06C	43287.00000000001	1202.0	44489.00000000001	54000.99999999998	22917.000000000007	19609.0	350.0	162.00000000000003	153.00000000000003	96.00000000000003
EC-06D	48078.000000000015	1479.9999999999993	49558.0	63000.00000000002	26020.000000000004	20955.0	508.9999999999997	225.99999999999997	190.0	178.00000000000003
EC-06P	6458	95	6553	6553	3696	2707	3	32	10	10
EC-07	464815.0	7111.999999999996	471927.0	646373.0000000003	285397.9999999997	173281.99999999997	1884.9999999999975	1583.999999999999	1179.0000000000005	1486.9999999999984
EC-07A	29714.000000000004	375.00000000000006	30088.999999999993	43988.0	17307.000000000004	12087.0	108.00000000000004	58.99999999999999	83.00000000000001	70.0
EC-07B	39512.999999999985	514.0000000000001	40027.0	56041.000000000015	25258.000000000007	13735.000000000002	162.99999999999997	139.99999999999997	100.99999999999999	116.00000000000003
EC-07C	35029.0	583.0000000000001	35612.00000000001	53066.000000000015	22469.999999999996	11934.000000000002	244.0	126.99999999999999	80.99999999999997	173.0
EC-07D	51599.99999999997	772.9999999999998	52373.0	71765.00000000001	32213.0	18747.000000000004	224.0	159.99999999999994	124.00000000000006	132.0
