entity_id	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	Ind 2	Liberal	LDA	Ind 1	SLMP	PLSF	Ind 3	DUNF	PFF
EC-01	964533.9999999993	29196.999999999996	993731.0000000001	1354024.9999999998	474310.00000000047	425184.99999999994	44008.99999999994	8208.999999999996	1318.9999999999995	1376.0000000000002	5000.000000000004	1369.9999999999998	1980.0000000000007	783.0000000000002	354.9999999999998	329.0000000000002	308.99999999999983
EC-01A	53166.99999999999	1409.0	54576.0	77447.00000000001	18113.999999999996	32714.0	1281.0000000000002	115.0	95.0	93.99999999999999	408.00000000000006	85.99999999999999	163.00000000000003	46.0	26.0	14.0	11.0
EC-01B	98535.00000000001	2604.9999999999995	101140.0	143993.0	35415.99999999999	59234.0	1954.9999999999995	272.00000000000006	178.0	137.00000000000003	424.00000000000006	104.0	629.9999999999998	81.99999999999999	53.00000000000001	26.0	23.999999999999993
EC-01C	38213.00000000001	1058.0	39271.0	55337.99999999999	17023.0	19151.0	1289.0	275.0	56.99999999999999	56.99999999999999	148.0	42.0	118.99999999999999	23.0	13.0	5.0	11.0
EC-01D	42770.0	1388.0	44157.99999999999	64386.0	17777.0	22281.0	1486.0	410.0	61.0	88.99999999999999	418.99999999999994	59.0	109.0	34.0	19.0	16.0	10.0
EC-01E	25298.0	896.0	26194.0	40908.0	7327.0	16531.000000000004	406.0	210.0	17.0	99.0	539.0	36.0	92.0	13.0	15.0	7.0	6.0
EC-01F	40194.0	1446.0000000000002	41640.00000000001	58407.0	18683.0	19126.0	1346.0	412.00000000000006	33.0	78.0	324.0	44.0	86.00000000000001	17.0	9.000000000000002	20.0	16.0
EC-01G	43963.99999999999	1500.0000000000005	45464.000000000015	63466.00000000001	22868.0	17572.0	2514.0	485.0	41.99999999999999	54.99999999999999	203.00000000000003	60.000000000000014	94.00000000000001	36.0	10.0	18.0	7.0
EC-01H	70133.0	1819.0	71951.99999999999	96163.99999999999	36907.000000000015	28680.999999999993	3385.0	467.9999999999999	96.99999999999994	93.0	188.00000000000009	113.00000000000003	106.99999999999999	42.0	22.999999999999996	16.000000000000004	13.0
EC-01I	49636.00000000001	1675.0	51311.0	70424.0	24781.999999999996	21454.999999999996	2075.0	763.0	37.0	87.0	231.0	83.0	47.0	41.0	10.0	10.0	14.999999999999996
EC-01J	91489.99999999997	2529.999999999998	94020.0	126119.00000000003	50535.00000000002	32951.0	6170.000000000001	915.9999999999998	102.00000000000003	101.00000000000004	338.0	111.99999999999999	91.0	79.00000000000001	31.999999999999996	34.00000000000001	28.999999999999982
EC-01K	65182.000000000015	1494.9999999999998	66677.0	87913.00000000004	33957.0	26903.0	2975.9999999999995	333.99999999999966	158.00000000000006	123.0	300.00000000000017	112.99999999999999	109.00000000000001	91.0	41.00000000000001	29.99999999999999	46.99999999999998
EC-01L	84122.99999999997	2382.9999999999995	86506.00000000003	116577.00000000006	46823.0	30859.000000000007	4878.000000000002	661.9999999999998	140.00000000000003	101.99999999999999	266.99999999999994	129.00000000000003	91.00000000000001	68.99999999999999	32.0	33.999999999999986	37.0
EC-01M	77081.0	2876.0	79957.0	108621.99999999999	43583.999999999985	27338.000000000004	4168.000000000001	1118.9999999999998	98.00000000000001	82.0	340.00000000000006	116.99999999999999	77.99999999999999	68.0	31.000000000000004	25.0	33.00000000000001
EC-01N	89622.99999999994	2967.0	92589.99999999999	121835.99999999997	51240.0	31302.000000000007	5236.0	940.0000000000002	104.99999999999999	101.0	345.99999999999994	133.99999999999997	71.0	70.0	19.999999999999996	32.00000000000001	25.999999999999993
EC-01O	79327.00000000001	2005.9999999999998	81333.00000000001	105482.99999999999	41379.99999999999	33017.0	3691.999999999999	431.00000000000006	96.00000000000001	72.0	288.0	127.00000000000001	75.99999999999999	69.99999999999999	20.0	37.99999999999999	20.0
EC-01P	15798	1144	16942	16942	7894	6070	1152	397	3	6	237	11	17	2	1	4	4
EC-02	941619.0000000008	20768.0	962387.0000000005	1247860.0000000014	532796.0000000005	353968.99999999953	40472.00000000002	4753.000000000001	1494.9999999999977	1164.9999999999986	2101.9999999999995	1549.0	1354.0000000000016	877.9999999999994	419.9999999999997	385.9999999999999	280.0000000000001
EC-02A	66512.00000000001	1541.0	68052.99999999999	88377.00000000001	32954.0	30566.000000000004	2127.0	183.99999999999994	83.0	71.99999999999999	278.99999999999994	73.99999999999999	60.0	47.00000000000002	21.999999999999996	26.999999999999996	17.0
EC-02B	58821.99999999997	1181.0	60003.00000000001	83508.00000000001	28515.0	28156.0	1359.9999999999998	106.00000000000004	91.99999999999999	74.00000000000001	156.0	110.99999999999997	125.99999999999999	55.00000000000002	35.999999999999986	20.000000000000004	15.000000000000002
EC-02C	76235.0	1544.9999999999995	77780.0	100351.99999999997	45607.00000000001	27388.999999999996	2223.999999999999	261.0	125.00000000000004	92.0	171.00000000000003	147.99999999999997	82.00000000000001	70.99999999999999	25.000000000000004	18.999999999999996	20.999999999999996
EC-02D	65146.999999999985	940.9999999999999	66087.99999999999	83077.00000000001	35244.99999999999	27006.999999999993	2046.0000000000002	215.0	126.99999999999997	100.00000000000011	96.99999999999999	107.0	54.0	62.00000000000001	35.99999999999997	21.0	30.000000000000007
EC-02E	72025.0	1619.0000000000005	73644.0	96906.99999999997	38075.000000000015	28456.000000000007	4213.0	414.9999999999999	150.0	106.00000000000001	111.99999999999999	116.00000000000006	198.00000000000006	82.00000000000001	50.00000000000001	31.000000000000007	20.999999999999993
EC-02F	75491.00000000001	1513.9999999999995	77004.99999999999	98927.00000000001	42314.0	28327.999999999996	3657.9999999999995	450.0	133.99999999999997	101.99999999999996	105.99999999999999	124.99999999999997	98.00000000000004	94.00000000000003	28.99999999999999	33.00000000000002	20.00000000000001
EC-02G	77828.00000000001	1933.000000000001	79761.00000000003	101469.99999999997	51203.999999999985	21708.99999999999	3608.0	410.99999999999994	132.99999999999997	94.99999999999999	125.00000000000001	143.0	211.99999999999994	76.99999999999999	45.000000000000036	51.99999999999999	14.000000000000009
EC-02H	83682.00000000003	1780.0000000000002	85461.99999999999	111814.0	51606.0	26257.000000000007	4433.000000000002	626.0000000000002	114.00000000000006	89.99999999999999	197.99999999999997	130.00000000000006	63.00000000000001	76.99999999999999	39.0	26.000000000000004	22.999999999999996
