entity_id	valid	rejected	polled	electors	UPFA	UNP	USP	JSP	ULPP	NLF	RPP	SLNF	ULF	DUA	SEP	SLPF	UNAF
EC-01	1114249.9999999995	12879.0	1127128.9999999998	1486021.0000000005	534431.0	569627.0	2627.9999999999986	2056.9999999999986	2173.999999999999	774.9999999999999	519.0000000000001	421.9999999999999	601.0000000000001	397.99999999999983	410.00000000000034	133.99999999999994	73.99999999999999
EC-01A	60111.0	939.0000000000001	61049.99999999999	85967.0	14269.999999999998	45160.99999999999	270.0	112.0	100.99999999999999	58.99999999999999	17.0	19.999999999999996	39.00000000000001	26.999999999999996	26.999999999999996	4.999999999999999	2.9999999999999996
EC-01B	100423.99999999999	1615.9999999999998	102039.99999999999	144916.0	20395.0	78908.0	447.9999999999999	189.00000000000003	117.0	70.99999999999999	27.999999999999993	37.00000000000001	92.99999999999999	69.0	37.00000000000001	20.000000000000004	11.999999999999996
EC-01C	41809.0	453.0	42262.00000000001	60677.99999999999	15644.0	25784.0	114.99999999999999	60.0	80.0	32.0	18.000000000000004	16.999999999999996	22.0	10.0	23.0	3.0	1.0
EC-01D	46206.0	694.0	46900.0	65732.0	16919.0	28831.999999999996	101.99999999999999	66.0	159.0	33.0	11.0	15.0	23.999999999999996	13.0	22.999999999999996	4.0	5.0
EC-01E	25864.999999999996	399.0	26264.0	38621.0	5103.999999999999	20475.0	52.0	22.0	129.0	37.0	3.0	10.0	10.0	5.0	10.0	7.0	1.0
EC-01F	43076.99999999999	369.0	43446.000000000015	58728.000000000015	18004.999999999996	24659.999999999996	67.0	57.0	158.0	34.0	19.0	13.000000000000002	20.0	14.999999999999996	19.0	5.0	5.0
EC-01G	49181.00000000001	557.0000000000001	49738.00000000001	66432.0	25003.999999999996	23743.0	92.0	76.0	121.0	36.0	23.0	22.0	25.999999999999996	16.000000000000004	17.0	3.0	2.0000000000000004
EC-01H	82027.99999999999	892.0	82920.0	107725.0	40616.00000000001	40744.00000000001	177.99999999999997	165.99999999999997	116.99999999999997	47.00000000000002	36.0	27.000000000000004	33.99999999999999	19.000000000000004	24.0	13.0	7.0
EC-01I	54504.0	516.0	55019.999999999985	73274.0	26986.999999999996	27106.0	83.0	88.0	117.0	31.000000000000004	16.999999999999996	18.0	19.000000000000004	20.0	11.0	2.9999999999999996	4.0
EC-01J	113805.0	1209.0	115014.00000000001	148435.00000000006	65829.0	47025.0	192.00000000000003	236.00000000000009	207.00000000000006	59.00000000000002	68.99999999999999	42.00000000000001	53.99999999999999	36.99999999999999	43.0	7.999999999999999	3.9999999999999996
EC-01K	79098.00000000003	865.0	79963.0	101064.99999999999	41936.0	36226.99999999999	280.99999999999994	208.99999999999997	113.99999999999997	87.99999999999999	50.99999999999999	33.000000000000014	66.00000000000003	31.0	35.99999999999999	15.999999999999998	10.000000000000002
EC-01L	108882.00000000003	1034.9999999999995	109917.00000000003	141973.99999999994	64433.00000000001	43476.999999999985	242.00000000000006	206.00000000000003	183.99999999999991	67.99999999999997	62.0	64.0	54.999999999999986	44.00000000000001	25.00000000000001	18.999999999999996	3.0
EC-01M	90424.99999999999	910.0000000000001	91334.99999999997	119137.00000000001	53680.99999999999	36092.99999999999	102.99999999999999	138.0	173.0	52.0	46.000000000000014	26.0	41.0	23.999999999999993	35.0	5.000000000000001	8.0
