entity_id	total_population	male	female
EC-01	2324349.0	1140472.0	1183877.0
EC-01A	131012.0	65047.0	65965.0
EC-01B	192245.0	97751.0	94494.0
EC-01C	89855.0	47755.0	42100.0
EC-01D	93290.0	44867.0	48423.0
EC-01E	54912.0	26038.0	28874.0
EC-01F	88962.0	43201.0	45761.0
EC-01G	95506.0	46786.0	48720.0
EC-01H	191687.0	94125.0	97562.0
EC-01I	107925.0	51992.0	55933.0
EC-01J	252041.0	123572.0	128469.0
EC-01K	164510.0	80066.0	84444.0
EC-01L	252469.0	123910.0	128559.0
EC-01M	196423.0	94117.0	102306.0
EC-01N	245232.0	118922.0	126310.0
EC-01O	168280.0	82323.0	85957.0
EC-02	2304833.0	1116893.0	1187940.0
EC-02A	175525.0	84426.0	91099.0
EC-02B	142136.0	68600.0	73536.0
EC-02C	235291.0	112803.0	122488.0
EC-02D	144506.0	70089.0	74417.0
EC-02E	164580.0	79185.0	85395.0
EC-02F	178331.0	85959.0	92372.0
EC-02G	179565.0	86489.0	93076.0
EC-02H	197667.0	95570.0	102097.0
EC-02I	201521.0	97574.0	103947.0
EC-02J	207782.0	101389.0	106393.0
EC-02K	154005.0	75233.0	78772.0
EC-02L	186585.0	92115.0	94470.0
EC-02M	137339.0	67461.0	69878.0
EC-03	1221948.0	591284.0	630664.0
EC-03A	160089.0	76471.0	83618.0
EC-03B	183608.0	88943.0	94665.0
EC-03C	167260.0	81222.0	86038.0
EC-03D	109739.0	53026.0	56713.0
EC-03E	145246.0	70101.0	75145.0
EC-03F	159697.0	77267.0	82430.0
EC-03G	164969.0	80599.0	84370.0
EC-03H	131340.0	63655.0	67685.0
EC-04	1375382.0	655791.0	719591.0
EC-04A	67628.0	32457.0	35171.0
EC-04B	207752.0	98216.0	109536.0
EC-04C	113136.0	53260.0	59876.0
EC-04D	74388.0	36508.0	37880.0
EC-04E	61034.0	28852.0	32182.0
EC-04F	127070.0	60589.0	66481.0
EC-04G	88533.0	42209.0	46324.0
EC-04H	112393.0	54057.0	58336.0
EC-04I	49787.0	23918.0	25869.0
EC-04J	106027.0	50921.0	55106.0
EC-04K	110905.0	53554.0	57351.0
EC-04L	132286.0	62776.0	69510.0
EC-04M	124443.0	58474.0	65969.0
EC-05	484531.0	233657.0	250874.0
EC-05A	171913.0	83948.0	87965.0
EC-05B	88131.0	43311.0	44820.0
EC-05C	107677.0	51254.0	56423.0
EC-05D	116810.0	55144.0	61666.0
EC-06	711644.0	340347.0	371297.0
EC-06A	417817.0	199786.0	218031.0
EC-06B	101180.0	48527.0	52653.0
EC-06C	88528.0	42156.0	46372.0
EC-06D	104119.0	49878.0	54241.0
EC-07	1063334.0	509902.0	553432.0
EC-07A	67432.0	31977.0	35455.0
EC-07B	91315.0	43512.0	47803.0
EC-07C	92659.0	44575.0	48084.0
EC-07D	116143.0	55851.0	60292.0
EC-07E	129339.0	63163.0	66176.0
EC-07F	124988.0	60124.0	64864.0
