entity_id	total_population	never_married	married_((registered)	married_(customary)	widowed	divorced	legally_separated	separated_(not_legally)	not_stated
EC-01	2324349.0	1033373.0	1164286.0	36729.0	72445.0	5698.0	3040.0	8778.0	0.0
EC-01A	131012.0	61585.0	62430.0	2861.0	3297.0	196.0	153.0	490.0	0.0
EC-01B	192245.0	93219.0	89497.0	2364.0	5445.0	710.0	248.0	762.0	0.0
EC-01C	89855.0	43088.0	42243.0	1441.0	2288.0	268.0	127.0	400.0	0.0
EC-01D	93290.0	42731.0	45924.0	1339.0	2601.0	248.0	139.0	308.0	0.0
EC-01E	54912.0	24386.0	27953.0	476.0	1712.0	220.0	80.0	85.0	0.0
EC-01F	88962.0	40176.0	43754.0	1570.0	2893.0	267.0	133.0	169.0	0.0
EC-01G	95506.0	42546.0	47877.0	1945.0	2463.0	259.0	111.0	305.0	0.0
EC-01H	191687.0	86830.0	93394.0	4612.0	5442.0	446.0	217.0	746.0	0.0
EC-01I	107925.0	48047.0	52739.0	2580.0	3577.0	389.0	165.0	428.0	0.0
EC-01J	252041.0	107215.0	132159.0	3123.0	7758.0	550.0	308.0	928.0	0.0
EC-01K	164510.0	70588.0	83733.0	2227.0	6397.0	324.0	259.0	982.0	0.0
EC-01L	252469.0	106668.0	131813.0	3015.0	9200.0	480.0	343.0	950.0	0.0
EC-01M	196423.0	86971.0	99135.0	2892.0	6019.0	510.0	261.0	635.0	0.0
EC-01N	245232.0	105649.0	126760.0	2809.0	8243.0	487.0	307.0	977.0	0.0
EC-01O	168280.0	73674.0	84875.0	3475.0	5110.0	344.0	189.0	613.0	0.0
EC-02	2304833.0	1002633.0	1146643.0	41254.0	93806.0	4985.0	3381.0	12131.0	0.0
EC-02A	175525.0	78156.0	87327.0	2131.0	6512.0	358.0	218.0	823.0	0.0
EC-02B	142136.0	63591.0	66013.0	4977.0	6321.0	345.0	181.0	708.0	0.0
EC-02C	235291.0	105379.0	115240.0	5011.0	7702.0	395.0	324.0	1240.0	0.0
EC-02D	144506.0	59884.0	72901.0	2479.0	7504.0	314.0	295.0	1129.0	0.0
