entity_id	radio	tv	fixed_tp	mobile	pc	laptop	fax
EC-01	0	0	0	0	0	0.0	0.0
EC-01A	0	0	0	0	0	0	0
EC-01B	0	0	0	0	0	0	0.0
EC-01C	0	0	0	0	0	0	0
EC-01D	0	0	0	0	0	0	0
EC-01E	0	0	0	0	0	0	0
EC-01F	0	0	0	0	0	0	0
EC-01G	0	0	0	0	0	0	0
EC-01H	0	0	0	0	0	0	0.0
EC-01I	0	0	0	0	0	0	0
EC-01J	0	0	0	0	0	0	0.0
EC-01K	0	0	0	0	0	0.0	0.0
EC-01L	0	0	0	0	0	0	0.0
EC-01M	0	0	0	0	0	0	0
EC-01N	0	0	0	0	0	0	0.0
EC-01O	0	0	0	0	0	0	0.0
EC-02	0	0	0	0	0	0.0	0.0
EC-02A	0	0	0	0	0	0	0.0
EC-02B	0	0	0	0	0	0	0.0
EC-02C	0	0	0	0	0	0	0.0
EC-02D	0	0	0	0	0	0.0	0.0
EC-02E	0	0	0	0	0	0	0.0
EC-02F	0	0	0	0	0	0.0	0.0
EC-02G	0	0	0	0	0	0.0	0.0
EC-02H	0	0	0	0	0	0	0.0
EC-02I	0	0	0	0	0	0	0.0
EC-02J	0	0	0	0	0	0	0.0
EC-02K	0	0	0	0	0	0.0	0.0
EC-02L	0	0	0	0	0	0	0.0
EC-02M	0	0	0	0	0	0	0.0
EC-03	0	0	0	0	0.0	0.0	0.0
EC-03A	0	0	0	0	0	0	0.0
EC-03B	0	0	0	0	0	0.0	0.0
EC-03C	0	0	0	0	0	0	0.0
EC-03D	0	0	0	0	0	0.0	0.0
EC-03E	0	0	0	0	0	0.0	0.0
EC-03F	0	0	0	0	0	0.0	0.0
EC-03G	0	0	0	0	0	0	0.0
EC-03H	0	0	0	0	0.0	0.0	0.0
EC-04	0	0	0.0	0	0.0	0.0	0.0
EC-04A	0	0	0	0	0	0.0	0.0
EC-04B	0	0	0	0	0	0.0	0.0
EC-04C	0	0	0	0	0	0	0.0
EC-04D	0	0	0.0	0	0.0	0.0	0.0
EC-04E	0	0	0	0	0.0	0.0	0.0
EC-04F	0	0	0	0	0	0	0.0
EC-04G	0	0	0	0	0.0	0.0	0.0
EC-04H	0	0	0	0	0	0	0.0
EC-04I	0	0	0	0	0	0	0
EC-04J	0	0	0	0	0	0	0.0
EC-04K	0	0	0	0	0	0.0	0.0
EC-04L	0	0	0	0	0	0.0	0.0
EC-04M	0	0	0	0	0	0.0	0.0
EC-05	0	0	0	0	0.0	0.0	0.0
EC-05A	0	0	0	0	0.0	0.0	0.0
EC-05B	0	0	0	0	0.0	0.0	0.0
EC-05C	0	0	0	0	0	0.0	0.0
EC-05D	0	0	0	0	0	0.0	0.0
EC-06	0	0	0	0	0.0	0.0	0.0
EC-06A	0	0	0	0	0	0.0	0.0
EC-06B	0	0	0	0	0.0	0.0	0.0
EC-06C	0	0	0	0	0.0	0.0	0.0
EC-06D	0	0	0	0	0.0	0.0	0.0
EC-07	0	0	0	0	0.0	0.0	0.0
EC-07A	0	0	0	0	0	0	0.0
EC-07B	0	0	0	0	0	0.0	0.0
EC-07C	0	0	0	0	0	0.0	0.0
EC-07D	0	0	0	0	0	0.0	0.0
EC-07E	0	0	0	0	0.0	0.0	0.0
EC-07F	0	0	0	0	0	0.0	0.0
EC-07G	0	0	0	0	0	0.0	0.0
EC-07H	0	0	0	0	0	0	0.0
EC-07I	0	0	0	0	0	0	0.0
EC-07J	0	0	0	0	0	0	0.0
EC-08	0	0	0	0	0.0	0.0	0.0
EC-08A	0	0	0	0	0.0	0.0	0.0
EC-08B	0	0	0	0	0	0.0	0.0
EC-08C	0	0	0	0	0	0.0	0.0
EC-08D	0	0	0	0	0	0.0	0.0
EC-08E	0	0	0	0	0	0.0	0.0
EC-08F	0	0	0	0	0	0	0.0
EC-08G	0	0	0	0	0	0	0.0
EC-09	0	0	0	0	0.0	0.0	0.0
EC-09A	0	0	0	0	0.0	0.0	0.0
EC-09B	0	0	0	0	0	0.0	0.0
EC-09C	0	0	0	0	0	0.0	0.0
EC-09D	0	0	0	0	0.0	0.0	0.0
EC-10	0.0	0.0	0.0	2.0	0.0	0.0	0.0
EC-10A	0.0	0.0	0.0	2.0	0.0	0.0	0.0
EC-10B	0	0	0	0	0	0	0.0
EC-10C	0	0	0	0	0	0	0.0
EC-10D	0	0	0	0	0	0	0.0
EC-10E	0	0	0	0	0	0	0.0
EC-10F	0	0	0	0	0	0	0.0
EC-10G	0	0	0	0	0	0	0.0
EC-10H	0	0	0	0	0.0	0.0	0.0
EC-10I	0	0	0	0	0	0	0.0
EC-10J	0	0	0	0	0	0	0.0
