entity_id	total_living_quarters	housing_unit	collective_living_quarter	non_housing_unit
EC-01	653381.0	640602.0	10116.0	2663.0
EC-01A	32789.0	32474.0	254.0	61.0
EC-01B	42190.0	40852.0	676.0	662.0
EC-01C	19952.0	19471.0	355.0	126.0
EC-01D	26556.0	26089.0	360.0	107.0
EC-01E	18508.0	18178.0	235.0	95.0
EC-01F	27361.0	26920.0	305.0	136.0
EC-01G	28976.0	28169.0	721.0	86.0
EC-01H	50262.0	49557.0	578.0	127.0
EC-01I	32542.0	31664.0	673.0	205.0
EC-01J	76738.0	75330.0	1185.0	223.0
EC-01K	47574.0	46796.0	682.0	96.0
EC-01L	74737.0	73540.0	976.0	221.0
EC-01M	56834.0	55533.0	1114.0	187.0
EC-01N	71863.0	70448.0	1152.0	263.0
EC-01O	46499.0	45581.0	850.0	68.0
EC-02	673017.0	664029.0	7931.0	1057.0
EC-02A	48368.0	47634.0	589.0	145.0
EC-02B	39236.0	38834.0	322.0	80.0
EC-02C	80816.0	79518.0	1254.0	44.0
EC-02D	43269.0	42853.0	370.0	46.0
EC-02E	47903.0	47450.0	393.0	60.0
EC-02F	51663.0	51036.0	565.0	62.0
EC-02G	50199.0	49564.0	553.0	82.0
EC-02H	56959.0	56420.0	439.0	100.0
EC-02I	60340.0	59545.0	697.0	98.0
EC-02J	58637.0	58063.0	509.0	65.0
EC-02K	43827.0	43325.0	428.0	74.0
EC-02L	53933.0	52986.0	821.0	126.0
EC-02M	37867.0	36801.0	991.0	75.0
EC-03	340456.0	337570.0	2657.0	229.0
EC-03A	42418.0	42001.0	364.0	53.0
EC-03B	51349.0	50914.0	378.0	57.0
EC-03C	48936.0	48412.0	489.0	35.0
EC-03D	33031.0	32789.0	226.0	16.0
EC-03E	41821.0	41537.0	267.0	17.0
EC-03F	42987.0	42608.0	343.0	36.0
EC-03G	39590.0	39317.0	266.0	7.0
EC-03H	40324.0	39992.0	324.0	8.0
EC-04	388560.0	384714.0	3440.0	406.0
EC-04A	20180.0	19935.0	233.0	12.0
EC-04B	53686.0	53213.0	414.0	59.0
EC-04C	32136.0	31909.0	200.0	27.0
EC-04D	23165.0	22908.0	236.0	21.0
EC-04E	18623.0	18460.0	158.0	5.0
EC-04F	36418.0	35981.0	395.0	42.0
EC-04G	25991.0	25753.0	222.0	16.0
EC-04H	30420.0	30003.0	371.0	46.0
EC-04I	13166.0	12892.0	224.0	50.0
EC-04J	30147.0	29853.0	256.0	38.0
EC-04K	30190.0	29874.0	296.0	20.0
EC-04L	38035.0	37788.0	222.0	25.0
EC-04M	36403.0	36145.0	213.0	45.0
EC-05	145745.0	144091.0	1434.0	220.0
EC-05A	52279.0	51528.0	591.0	160.0
EC-05B	27887.0	27549.0	330.0	8.0
EC-05C	30500.0	30206.0	262.0	32.0
EC-05D	35079.0	34808.0	251.0	20.0
EC-06	201625.0	200067.0	1342.0	216.0
EC-06A	114075.0	113258.0	664.0	153.0
EC-06B	28231.0	27982.0	219.0	30.0
EC-06C	27891.0	27643.0	240.0	8.0
EC-06D	31428.0	31184.0	219.0	25.0
EC-07	316083.0	313412.0	2519.0	152.0
EC-07A	19301.0	19116.0	171.0	14.0
EC-07B	27215.0	27051.0	158.0	6.0
EC-07C	30105.0	29920.0	171.0	14.0
EC-07D	34683.0	34379.0	286.0	18.0
EC-07E	42422.0	42043.0	366.0	13.0
EC-07F	38448.0	38163.0	276.0	9.0
EC-07G	29984.0	29751.0	218.0	15.0
EC-07H	26308.0	26037.0	247.0	24.0
EC-07I	36420.0	36106.0	300.0	14.0
EC-07J	31197.0	30846.0	326.0	25.0
EC-08	236163.0	234362.0	1703.0	98.0
EC-08A	42551.0	42283.0	247.0	21.0
EC-08B	34897.0	34672.0	221.0	4.0
EC-08C	34800.0	34539.0	249.0	12.0
EC-08D	29453.0	29201.0	243.0	9.0
EC-08E	28400.0	28172.0	216.0	12.0
EC-08F	31610.0	31281.0	297.0	32.0
EC-08G	34452.0	34214.0	230.0	8.0
EC-09	181660.0	179939.0	1578.0	143.0
EC-09A	38749.0	38448.0	288.0	13.0
EC-09B	28629.0	28332.0	267.0	30.0
EC-09C	46428.0	46046.0	356.0	26.0
EC-09D	67854.0	67113.0	667.0	74.0
EC-10	190520.0	189928.0	550.0	42.0
EC-10A	22113.0	22065.0	47.0	1.0
EC-10B	18218.0	18183.0	35.0	0.0
EC-10C	2783.0	2772.0	11.0	0.0
EC-10D	20861.0	20804.0	51.0	6.0
EC-10E	19305.0	19255.0	45.0	5.0
