entity_id	total_households	protected_well_within_premises	protected_well_outside_premises	unprotected_well	tap_within_unit_(main_line)	tap_within_premises_but_outside_unit_(main_line)	tap_outside_premises_(main_line)	rural_water_projects	tube_well	bowser	river/tank/stream	rain_water	bottled_water	other
EC-01	572475.0	123735.0	11188.0	1951.0	360380.0	29938.0	26539.0	12728.0	2065.0	38.0	1560.0	112.0	828.0	1413.0
EC-01A	30082.0	217.0	23.0	15.0	23494.0	2190.0	3885.0	0.0	149.0	1.0	1.0	1.0	11.0	95.0
EC-01B	38163.0	160.0	44.0	13.0	29020.0	2695.0	5826.0	0.0	295.0	1.0	1.0	13.0	29.0	66.0
EC-01C	17726.0	96.0	17.0	3.0	14610.0	1163.0	1721.0	0.0	35.0	0.0	0.0	9.0	20.0	52.0
EC-01D	22646.0	418.0	82.0	11.0	18198.0	1570.0	2159.0	0.0	41.0	0.0	0.0	1.0	136.0	30.0
EC-01E	13804.0	138.0	22.0	21.0	11126.0	842.0	1276.0	0.0	58.0	1.0	0.0	0.0	282.0	38.0
EC-01F	22691.0	777.0	43.0	5.0	20486.0	795.0	484.0	0.0	30.0	5.0	3.0	0.0	53.0	10.0
EC-01G	24573.0	809.0	49.0	7.0	20822.0	1915.0	746.0	0.0	32.0	0.0	0.0	82.0	59.0	52.0
EC-01H	45446.0	2114.0	153.0	42.0	38090.0	2954.0	1696.0	0.0	154.0	0.0	3.0	0.0	16.0	224.0
EC-01I	27583.0	866.0	50.0	47.0	24861.0	1023.0	594.0	0.0	60.0	0.0	0.0	0.0	52.0	30.0
EC-01J	65495.0	19129.0	1176.0	179.0	38986.0	3096.0	2454.0	0.0	245.0	0.0	3.0	2.0	67.0	158.0
EC-01K	42084.0	19664.0	3796.0	755.0	5622.0	1104.0	600.0	8701.0	127.0	5.0	1546.0	2.0	9.0	153.0
EC-01L	65926.0	43218.0	3557.0	582.0	12256.0	1081.0	690.0	4027.0	284.0	1.0	0.0	1.0	15.0	214.0
EC-01M	50293.0	8720.0	268.0	69.0	37402.0	2252.0	1422.0	0.0	76.0	0.0	1.0	0.0	25.0	58.0
EC-01N	63497.0	26569.0	1833.0	190.0	29493.0	2772.0	2178.0	0.0	293.0	20.0	0.0	1.0	39.0	109.0
EC-01O	42466.0	840.0	75.0	12.0	35914.0	4486.0	808.0	0.0	186.0	4.0	2.0	0.0	15.0	124.0
EC-02	604009.0	317581.0	43463.0	13128.0	126947.0	26607.0	17208.0	18388.0	35527.0	481.0	274.0	131.0	605.0	3669.0
EC-02A	43648.0	8611.0	721.0	49.0	23363.0	4718.0	1807.0	1287.0	2710.0	17.0	33.0	55.0	45.0	232.0
EC-02B	35190.0	2936.0	438.0	23.0	15947.0	3283.0	6494.0	385.0	5259.0	13.0	0.0	2.0	150.0	260.0
EC-02C	71059.0	28965.0	3664.0	411.0	8270.0	4818.0	2914.0	4033.0	17197.0	144.0	6.0	5.0	151.0	481.0
EC-02D	38841.0	27915.0	4481.0	2978.0	951.0	328.0	134.0	1139.0	719.0	1.0	22.0	0.0	2.0	171.0
EC-02E	43170.0	29644.0	6102.0	3419.0	1228.0	263.0	221.0	1663.0	225.0	2.0	54.0	21.0	5.0	323.0
EC-02F	46658.0	35870.0	4236.0	1432.0	2037.0	464.0	169.0	1189.0	1042.0	4.0	3.0	0.0	11.0	201.0
EC-02G	45213.0	31129.0	4771.0	1402.0	4270.0	586.0	564.0	2049.0	228.0	1.0	48.0	0.0	2.0	163.0
EC-02H	51499.0	38480.0	4104.0	616.0	4579.0	525.0	367.0	1803.0	824.0	1.0	5.0	3.0	15.0	177.0
EC-02I	53271.0	28579.0	3207.0	164.0	7948.0	2184.0	1139.0	2338.0	6127.0	287.0	7.0	34.0	156.0	1101.0
EC-02J	52839.0	31365.0	3955.0	894.0	12778.0	1516.0	629.0	1231.0	346.0	2.0	0.0	6.0	14.0	103.0
EC-02K	39526.0	28166.0	4926.0	1467.0	2364.0	456.0	444.0	1124.0	232.0	1.0	89.0	1.0	10.0	246.0
EC-02L	49008.0	22345.0	2659.0	232.0	17990.0	3839.0	1443.0	0.0	425.0	3.0	2.0	0.0	8.0	62.0
EC-02M	34087.0	3576.0	199.0	41.0	25222.0	3627.0	883.0	147.0	193.0	5.0	5.0	4.0	36.0	149.0
EC-03	305737.0	138335.0	41714.0	13508.0	63237.0	9212.0	5633.0	20378.0	7272.0	90.0	4933.0	90.0	43.0	1292.0
EC-03A	39286.0	9430.0	807.0	136.0	22537.0	2374.0	1377.0	604.0	1853.0	5.0	0.0	0.0	9.0	154.0
EC-03B	46552.0	30575.0	6353.0	1039.0	4895.0	768.0	530.0	1376.0	792.0	9.0	7.0	2.0	6.0	200.0
EC-03C	43352.0	27351.0	5788.0	1278.0	4458.0	756.0	327.0	2722.0	163.0	0.0	343.0	1.0	1.0	164.0
EC-03D	29104.0	13739.0	6190.0	2408.0	477.0	166.0	183.0	4129.0	208.0	0.0	1356.0	2.0	2.0	244.0
EC-03E	37147.0	20174.0	8570.0	2549.0	2073.0	679.0	390.0	1825.0	242.0	68.0	439.0	4.0	1.0	133.0
EC-03F	38653.0	14493.0	2958.0	509.0	12912.0	2175.0	829.0	1256.0	3290.0	0.0	2.0	69.0	8.0	152.0
EC-03G	36483.0	9577.0	4734.0	1246.0	15396.0	1997.0	1713.0	1085.0	609.0	7.0	1.0	3.0	12.0	103.0
EC-03H	35160.0	12996.0	6314.0	4343.0	489.0	297.0	284.0	7381.0	115.0	1.0	2785.0	9.0	4.0	142.0
EC-04	348019.0	49629.0	38580.0	10117.0	132091.0	28270.0	14564.0	39395.0	6762.0	688.0	24032.0	221.0	61.0	3609.0
EC-04A	18055.0	6039.0	4954.0	844.0	1372.0	608.0	546.0	1905.0	825.0	74.0	590.0	9.0	3.0	286.0
EC-04B	49975.0	11515.0	8684.0	1483.0	16817.0	2290.0	1671.0	3330.0	2290.0	7.0	1255.0	21.0	17.0	595.0
EC-04C	28752.0	2763.0	2594.0	443.0	11404.0	2199.0	1116.0	4139.0	385.0	24.0	3461.0	9.0	0.0	215.0
EC-04D	20560.0	3900.0	4023.0	1262.0	779.0	992.0	529.0	6141.0	588.0	7.0	2233.0	5.0	7.0	94.0
EC-04E	16310.0	664.0	1240.0	456.0	5458.0	2648.0	860.0	2167.0	73.0	8.0	2454.0	23.0	0.0	259.0
EC-04F	32327.0	1316.0	1397.0	297.0	21560.0	4770.0	1137.0	1019.0	364.0	6.0	95.0	3.0	11.0	352.0
EC-04G	22924.0	1195.0	1850.0	884.0	4406.0	3202.0	1421.0	6965.0	538.0	367.0	1691.0	100.0	1.0	304.0
EC-04H	26653.0	600.0	319.0	90.0	20325.0	1666.0	594.0	2050.0	67.0	20.0	654.0	7.0	6.0	255.0
EC-04I	11451.0	111.0	17.0	4.0	10355.0	379.0	442.0	55.0	0.0	1.0	0.0	0.0	2.0	85.0
EC-04J	27305.0	8333.0	3998.0	738.0	9844.0	1505.0	640.0	1092.0	383.0	43.0	513.0	9.0	7.0	200.0
EC-04K	27517.0	4876.0	2860.0	635.0	14370.0	2306.0	901.0	572.0	636.0	6.0	128.0	3.0	4.0	220.0
EC-04L	33952.0	4019.0	2979.0	1348.0	9877.0	2865.0	2751.0	4444.0	330.0	39.0	4929.0	14.0	1.0	356.0
EC-04M	32238.0	4298.0	3665.0	1633.0	5524.0	2840.0	1956.0	5516.0	283.0	86.0	6029.0	18.0	2.0	388.0
EC-05	129710.0	26731.0	22822.0	5253.0	24559.0	8876.0	4168.0	22399.0	7500.0	62.0	6605.0	28.0	63.0	644.0
EC-05A	46512.0	14593.0	10027.0	2489.0	2744.0	1518.0	1207.0	9015.0	4145.0	17.0	566.0	13.0	41.0	137.0
EC-05B	24735.0	5232.0	5947.0	1265.0	1559.0	1698.0	610.0	4221.0	1338.0	28.0	2721.0	6.0	10.0	100.0
EC-05C	27461.0	3904.0	3706.0	526.0	11161.0	2060.0	928.0	2712.0	1436.0	9.0	814.0	4.0	10.0	191.0
EC-05D	31002.0	3002.0	3142.0	973.0	9095.0	3600.0	1423.0	6451.0	581.0	8.0	2504.0	5.0	2.0	216.0
