id	name	country_id	province_id	ed_id	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
EC-01	Colombo	LK	LK-1	EC-01	2323964	686.44	['EC-01H', 'EC-01I', 'EC-01J', 'EC-01K', 'EC-01M', 'EC-01N', 'EC-01O', 'LG-11031', 'LG-11090', 'LG-11121', 'LG-11210', 'LG-11240', 'LG-11301', 'LG-11330', 'LK-1106', 'LK-1109', 'LK-1121', 'LK-1124', 'LK-1133', 'LK-1136', 'MOH-11031', 'MOH-11060', 'MOH-11212', 'MOH-11330']	['LK-1']	['LK-11']	[]	[6.869636028857, 80.01959786729992]	8
EC-02	Gampaha	LK	LK-1	EC-02	2304833	1393.29	['EC-02A', 'EC-02B', 'EC-02C', 'EC-02D', 'EC-02E', 'EC-02F', 'EC-02G', 'EC-02H', 'EC-02I', 'EC-02J', 'EC-02K', 'EC-02L', 'EC-02M', 'LG-12030', 'LG-12090', 'LG-12120', 'LG-12270', 'LG-12300', 'LG-12330', 'LG-12390', 'LK-1203', 'LK-1206', 'LK-1209', 'LK-1212', 'LK-1215', 'LK-1218', 'LK-1221', 'LK-1224', 'LK-1227', 'LK-1230', 'LK-1233', 'LK-1236', 'LK-1239', 'MOH-12030', 'MOH-12090', 'MOH-12120', 'MOH-12150', 'MOH-12181', 'MOH-12240', 'MOH-12270', 'MOH-12300', 'MOH-12330', 'MOH-12360', 'MOH-12390']	['LK-1']	['LK-12']	[]	[7.123597984005735, 80.01850768802333]	15
EC-03	Kalutara	LK	LK-1	EC-03	1221948	1657.88	['EC-03B', 'EC-03C', 'EC-03D', 'EC-03E', 'EC-03F', 'EC-03G', 'EC-03H', 'LK-1321', 'LK-1324', 'MOH-13031', 'MOH-13151', 'MOH-13211', 'MOH-13240']	['LK-1']	['LK-13']	[]	[6.577316237306558, 80.1273632413415]	148
EC-04	Kandy	LK	LK-2	EC-04	1375382	1936.95	['EC-04A', 'EC-04B', 'EC-04C', 'EC-04D', 'EC-04E', 'EC-04F', 'EC-04J', 'EC-04K', 'EC-04L', 'EC-04M', 'LG-21121', 'LG-21240', 'LG-21270', 'LG-21390', 'LG-21421', 'LG-21451', 'LK-2124', 'LK-2127', 'LK-2130', 'LK-2136', 'LK-2139', 'MOH-21240', 'MOH-21300']	['LK-2']	['LK-21']	[]	[7.27337026586809, 80.70960226342677]	440
EC-05	Matale	LK	LK-2	EC-05	484531	2071.55	['EC-05A', 'EC-05B', 'EC-05C', 'EC-05D', 'LG-22181']	['LK-2']	['LK-22']	[]	[7.667587390654077, 80.73100798693066]	223
EC-06	Nuwara-Eliya	LK	LK-2	EC-06	711644	1757.63	['EC-06A', 'EC-06B', 'EC-06C', 'EC-06D', 'LG-23030', 'LG-23060', 'LG-23090', 'LK-2303', 'LK-2306', 'LK-2309']	['LK-2']	['LK-23']	[]	[6.974229692525351, 80.71122177225568]	1932
EC-07	Galle	LK	LK-3	EC-07	1063334	1623.72	['EC-07A', 'EC-07B', 'EC-07C', 'EC-07D', 'EC-07E', 'EC-07F', 'EC-07G', 'EC-07H', 'EC-07I', 'EC-07J', 'LG-31391', 'LK-3106', 'LK-3136', 'LK-3139', 'MOH-31390']	['LK-3']	['LK-31']	[]	[6.2228045157985195, 80.25197661195521]	47
EC-08	Matara	LK	LK-3	EC-08	814048	1315.99	['EC-08A', 'EC-08B', 'EC-08C', 'EC-08D', 'EC-08E', 'EC-08F', 'EC-08G', 'LK-3242']	['LK-3']	['LK-32']	[]	[6.142734290734685, 80.53999433584488]	58
EC-09	Hambantota	LK	LK-3	EC-09	599903	2641.48	['EC-09A', 'EC-09B', 'EC-09C', 'EC-09D', 'LG-33211']	['LK-3']	['LK-33']	[]	[6.2597793094994385, 81.09861926939857]	30
EC-10	Jaffna	LK	LK-4	EC-10	697392	2260.76	['EC-10K', 'LK-41', 'LK-45']	['LK-4']	[]	[]	[9.54006504837799, 80.21591131747756]	0
