id	name	country_id	province_id	district_id	lg_id	lg_type	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
LG-11031	Colombo MC	LK	LK-1	LK-11	LG-11031	MC	560971	42.58	['LK-1103', 'LK-1127']	['EC-01', 'LK-11']	['MOH-11031']	[]	[6.921068798831694, 79.86607560457324]	13
LG-11061	Kolonnawa UC	LK	LK-1	LK-11	LG-11061	UC	60044	5.06	['LK-1106005', 'LK-1106010', 'LK-1106025', 'LK-1106030', 'LK-1106035', 'LK-1106100', 'LK-1106105', 'LK-1106110', 'LK-1106115', 'LK-1106120', 'LK-1106205', 'LK-1106210', 'LK-1106215']	['EC-01H', 'LK-1106', 'MOH-11060']	[]	[]	[6.938264938976741, 79.88817011056312]	7
LG-11062	Kotikawatta - Mulleriyawa PS	LK	LK-1	LK-11	LG-11062	PS	131643	20.96	['LK-1106015', 'LK-1106020', 'LK-1106040', 'LK-1106045', 'LK-1106050', 'LK-1106055', 'LK-1106060', 'LK-1106065', 'LK-1106070', 'LK-1106075', 'LK-1106080', 'LK-1106085', 'LK-1106090', 'LK-1106095', 'LK-1106125', 'LK-1106130', 'LK-1106135', 'LK-1106140', 'LK-1106145', 'LK-1106150', 'LK-1106155', 'LK-1106160', 'LK-1106165', 'LK-1106170', 'LK-1106175', 'LK-1106180', 'LK-1106185', 'LK-1106190', 'LK-1106195', 'LK-1106200', 'LK-1106220', 'LK-1106225', 'LK-1106230']	['EC-01H', 'LK-1106', 'MOH-11060']	[]	[]	[6.933543773896038, 79.92238690735374]	5
LG-11090	Kaduwela MC	LK	LK-1	LK-11	LG-11090	MC	252041	88.44	['MOH-11091', 'MOH-11092']	['EC-01', 'LK-11']	['EC-01J', 'LK-1109']	[]	[6.903549932790641, 79.97822268137458]	11
LG-11121	Homagama PS	LK	LK-1	LK-11	LG-11121	PS	252469	138.15	['EC-01L', 'LK-1112', 'LK-1118130', 'LK-1118140', 'LK-1118145', 'LK-1118150', 'LK-1118155', 'LK-1118160', 'LK-1118165', 'LK-1118170', 'LK-1118175', 'LK-1118180']	['EC-01', 'LK-11']	[]	['EC-01K', 'LK-1118', 'MOH-11180']	[6.831372645704383, 80.02235347531872]	24
LG-11151	Seethawaka PS	LK	LK-1	LK-11	LG-11151	PS	134202	213.39	['LK-1115005', 'LK-1115010', 'LK-1115015', 'LK-1115020', 'LK-1115025', 'LK-1115065', 'LK-1115070', 'LK-1115075', 'LK-1115080', 'LK-1115085', 'LK-1115090', 'LK-1115095', 'LK-1115100', 'LK-1115105', 'LK-1115110', 'LK-1115115', 'LK-1115120', 'LK-1115125', 'LK-1115165', 'LK-1115170', 'LK-1115175', 'LK-1115180', 'LK-1115185', 'LK-1115190', 'LK-1115195', 'LK-1115200', 'LK-1115205', 'LK-1115210', 'LK-1115215', 'LK-1115220', 'LK-1115225', 'LK-1115230', 'LK-1115235', 'LK-1115240', 'LK-1115245', 'LK-1115250', 'LK-1115255', 'LK-1115260', 'LK-1115265', 'LK-1115270', 'LK-1115275', 'LK-1115280', 'LK-1115285', 'LK-1115290', 'LK-1115295', 'LK-1115300', 'LK-1115305', 'LK-1115310', 'LK-1115315', 'LK-1115320', 'LK-1115325', 'LK-1115330', 'LK-1115335', 'LK-1115340', 'LK-1118005', 'LK-1118010', 'LK-1118015', 'LK-1118020', 'LK-1118025', 'LK-1118030', 'LK-1118035', 'LK-1118040', 'LK-1118045', 'LK-1118050', 'LK-1118055', 'LK-1118060', 'LK-1118065', 'LK-1118070', 'LK-1118075', 'LK-1118080', 'LK-1118085', 'LK-1118090', 'LK-1118095', 'LK-1118100', 'LK-1118105', 'LK-1118110', 'LK-1118115', 'LK-1118120', 'LK-1118125', 'LK-1118135', 'LK-1118185', 'LK-1118190', 'LK-1118195', 'LK-1118200', 'LK-1118205', 'LK-1118210', 'LK-1118215', 'LK-1118220', 'LK-1118225', 'LK-1118230']	['EC-01K']	[]	['LK-1115', 'LK-1118', 'MOH-11150', 'MOH-11180']	[6.8849920061801715, 80.1367998661342]	33
LG-11152	Seethawakapura UC	LK	LK-1	LK-11	LG-11152	UC	30308	20.64	['LK-1115030', 'LK-1115035', 'LK-1115040', 'LK-1115045', 'LK-1115050', 'LK-1115055', 'LK-1115060', 'LK-1115130', 'LK-1115135', 'LK-1115140', 'LK-1115145', 'LK-1115150', 'LK-1115155', 'LK-1115160']	['LK-1115', 'MOH-11150']	[]	[]	[6.95386664409647, 80.20035393611]	33
LG-11210	Maharagama UC	LK	LK-1	LK-11	LG-11210	UC	196423	37.58	['LK-1121005', 'LK-1121010', 'LK-1121015', 'LK-1121080', 'LK-1121085', 'LK-1121090', 'LK-1121095', 'MOH-11211']	['EC-01', 'LK-11']	['EC-01M', 'LK-1121']	['MOH-11212']	[6.856956689606919, 79.94263626104865]	30
LG-11240	Sri Jayawardanapura Kotte MC	LK	LK-1	LK-11	LG-11240	MC	107883	16.56	['LK-1124040', 'LK-1124045', 'LK-1124050', 'LK-1124055', 'LK-1124060', 'MOH-11241']	['EC-01', 'LK-11']	['EC-01I', 'LK-1124']	['MOH-11212']	[6.89106447937001, 79.89873125770637]	5
LG-11301	Dehiwala - Mount Lavinia MC	LK	LK-1	LK-11	LG-11301	MC	184468	21.89	['EC-01F', 'EC-01G', 'LK-1130', 'LK-1131', 'MOH-11300', 'MOH-11310']	['EC-01', 'LK-11']	[]	[]	[6.839430149912115, 79.87741230683028]	6
