id	name	country_id	province_id	district_id	moh_id	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
MOH-11031	CMC	LK	LK-1	LK-11	MOH-11031	560971	42.58	['LK-1103', 'LK-1127']	['EC-01', 'LK-11']	['LG-11031']	[]	[6.921068798831694, 79.86607560457324]	13
MOH-11060	Kolonnawa	LK	LK-1	LK-11	MOH-11060	191687	26.02	['LG-11061', 'LG-11062']	['EC-01', 'LK-11']	['EC-01H', 'LK-1106']	[]	[6.934527787358537, 79.91578116166052]	10
MOH-11091	Battaramulla	LK	LK-1	LK-11	MOH-11091	87482	20.37	['LK-1109065', 'LK-1109135', 'LK-1109140', 'LK-1109145', 'LK-1109150', 'LK-1109155', 'LK-1109160', 'LK-1109165', 'LK-1109170', 'LK-1109175', 'LK-1109180', 'LK-1109185', 'LK-1109190', 'LK-1109235', 'LK-1109240', 'LK-1109245', 'LK-1109250', 'LK-1109255', 'LK-1109260', 'LK-1109265', 'LK-1109270']	['EC-01J', 'LG-11090', 'LK-1109']	[]	[]	[6.9016145684294505, 79.93312714004473]	16
MOH-11092	Kaduwela	LK	LK-1	LK-11	MOH-11092	164559	68.07	['LK-1109005', 'LK-1109010', 'LK-1109015', 'LK-1109020', 'LK-1109025', 'LK-1109030', 'LK-1109035', 'LK-1109040', 'LK-1109045', 'LK-1109050', 'LK-1109055', 'LK-1109060', 'LK-1109070', 'LK-1109075', 'LK-1109080', 'LK-1109085', 'LK-1109090', 'LK-1109095', 'LK-1109100', 'LK-1109105', 'LK-1109110', 'LK-1109115', 'LK-1109120', 'LK-1109125', 'LK-1109130', 'LK-1109195', 'LK-1109200', 'LK-1109205', 'LK-1109210', 'LK-1109215', 'LK-1109220', 'LK-1109225', 'LK-1109230', 'LK-1109275', 'LK-1109280', 'LK-1109285']	['EC-01J', 'LG-11090', 'LK-1109']	[]	[]	[6.90406172101463, 79.99186136432135]	18
MOH-11121	Homagama	LK	LK-1	LK-11	MOH-11121	153413	76.7	['LK-1112005', 'LK-1112010', 'LK-1112015', 'LK-1112020', 'LK-1112025', 'LK-1112030', 'LK-1112035', 'LK-1112040', 'LK-1112045', 'LK-1112050', 'LK-1112055', 'LK-1112060', 'LK-1112065', 'LK-1112070', 'LK-1112075', 'LK-1112080', 'LK-1112085', 'LK-1112090', 'LK-1112095', 'LK-1112100', 'LK-1112105', 'LK-1112110', 'LK-1112115', 'LK-1112120', 'LK-1112125', 'LK-1112130', 'LK-1112135', 'LK-1112140', 'LK-1112145', 'LK-1112150', 'LK-1112155', 'LK-1112160', 'LK-1112165', 'LK-1112170', 'LK-1112175', 'LK-1112180', 'LK-1112185', 'LK-1112190', 'LK-1112195', 'LK-1112200', 'LK-1112205', 'LK-1112210', 'LK-1112245', 'LK-1112265', 'LK-1112270', 'LK-1112275', 'LK-1112280', 'LK-1112285', 'LK-1112290']	['EC-01L', 'LK-1112']	[]	[]	[6.854835486764054, 80.03278052111004]	26
MOH-11122	Kahathuduwa	LK	LK-1	LK-11	MOH-11122	84492	42.91	['LK-1112215', 'LK-1112220', 'LK-1112225', 'LK-1112230', 'LK-1112235', 'LK-1112240', 'LK-1112250', 'LK-1112255', 'LK-1112260', 'LK-1112295', 'LK-1112300', 'LK-1112305', 'LK-1112310', 'LK-1112315', 'LK-1112320', 'LK-1112325', 'LK-1112330', 'LK-1112335', 'LK-1112340', 'LK-1112345', 'LK-1112350', 'LK-1112355', 'LK-1112360', 'LK-1112365', 'LK-1112370', 'LK-1112375', 'LK-1112380', 'LK-1112385', 'LK-1112390', 'LK-1112395', 'LK-1112400', 'LK-1112405']	['EC-01L', 'LK-1112']	[]	[]	[6.794855047297466, 79.98599380805541]	7
MOH-11150	Hanwella	LK	LK-1	LK-11	MOH-11150	113807	146.84	['LG-11152', 'LK-1115005', 'LK-1115010', 'LK-1115015', 'LK-1115020', 'LK-1115025', 'LK-1115065', 'LK-1115070', 'LK-1115075', 'LK-1115080', 'LK-1115085', 'LK-1115090', 'LK-1115095', 'LK-1115100', 'LK-1115105', 'LK-1115110', 'LK-1115115', 'LK-1115120', 'LK-1115125', 'LK-1115165', 'LK-1115170', 'LK-1115175', 'LK-1115180', 'LK-1115185', 'LK-1115190', 'LK-1115195', 'LK-1115200', 'LK-1115205', 'LK-1115210', 'LK-1115215', 'LK-1115220', 'LK-1115225', 'LK-1115230', 'LK-1115235', 'LK-1115240', 'LK-1115245', 'LK-1115250', 'LK-1115255', 'LK-1115260', 'LK-1115265', 'LK-1115270', 'LK-1115275', 'LK-1115280', 'LK-1115285', 'LK-1115290', 'LK-1115295', 'LK-1115300', 'LK-1115305', 'LK-1115310', 'LK-1115315', 'LK-1115320', 'LK-1115325', 'LK-1115330', 'LK-1115335', 'LK-1115340']	['EC-01K']	['LK-1115']	['LG-11151']	[6.922880067476039, 80.1471239373153]	38
MOH-11180	Padukka	LK	LK-1	LK-11	MOH-11180	65267	105.73	['LK-1118005', 'LK-1118010', 'LK-1118015', 'LK-1118020', 'LK-1118025', 'LK-1118030', 'LK-1118035', 'LK-1118040', 'LK-1118045', 'LK-1118050', 'LK-1118055', 'LK-1118060', 'LK-1118065', 'LK-1118070', 'LK-1118075', 'LK-1118080', 'LK-1118085', 'LK-1118090', 'LK-1118095', 'LK-1118100', 'LK-1118105', 'LK-1118110', 'LK-1118115', 'LK-1118120', 'LK-1118125', 'LK-1118130', 'LK-1118135', 'LK-1118140', 'LK-1118145', 'LK-1118150', 'LK-1118155', 'LK-1118160', 'LK-1118165', 'LK-1118170', 'LK-1118175', 'LK-1118180', 'LK-1118185', 'LK-1118190', 'LK-1118195', 'LK-1118200', 'LK-1118205', 'LK-1118210', 'LK-1118215', 'LK-1118220', 'LK-1118225', 'LK-1118230']	['EC-01K']	['LK-1118']	['LG-11121', 'LG-11151']	[6.834283707871881, 80.12218061714873]	41
MOH-11211	Maharagama	LK	LK-1	LK-11	MOH-11211	153901	32.1	['LK-1121020', 'LK-1121025', 'LK-1121030', 'LK-1121035', 'LK-1121040', 'LK-1121045', 'LK-1121050', 'LK-1121055', 'LK-1121060', 'LK-1121065', 'LK-1121070', 'LK-1121075', 'LK-1121100', 'LK-1121105', 'LK-1121110', 'LK-1121115', 'LK-1121120', 'LK-1121125', 'LK-1121130', 'LK-1121135', 'LK-1121140', 'LK-1121145', 'LK-1121150', 'LK-1121155', 'LK-1121160', 'LK-1121165', 'LK-1121170', 'LK-1121175', 'LK-1121180', 'LK-1121185', 'LK-1121190', 'LK-1121195', 'LK-1121200', 'LK-1121205']	['EC-01M', 'LG-11210', 'LK-1121']	[]	[]	[6.854043222124746, 79.94688740386124]	18
MOH-11212	Pitakotte	LK	LK-1	LK-11	MOH-11212	64741	10.08	['LK-1121005', 'LK-1121010', 'LK-1121015', 'LK-1121080', 'LK-1121085', 'LK-1121090', 'LK-1121095', 'LK-1124040', 'LK-1124045', 'LK-1124050', 'LK-1124055', 'LK-1124060']	['EC-01', 'LK-11']	[]	['EC-01I', 'EC-01M', 'LG-11210', 'LG-11240', 'LK-1121', 'LK-1124']	[6.881897428013953, 79.91270411991178]	14
