province	province_id	district_id	division_id	ps_id	division	num	name	lat	lng	phone_mobile	phone_office	fax	id	gnd_id
Western	LK-1	LK-11	PS-1101	PS-110101	Colombo Central	1	Pettah	6.9364411	79.84979849999999	071-8591555	011-2323677	011-2421515	PS-110101	LK-1103115
Western	LK-1	LK-11	PS-1101	PS-110102	Colombo Central	2	Keselwatta	6.934854	79.85893519999999	071-8591556	011-2384091	011-2421944	PS-110102	
Western	LK-1	LK-11	PS-1101	PS-110103	Colombo Central	3	Dam Street	6.938267499999999	79.8563798	071-8591557	-	011-2432612	PS-110103	LK-1103115
Western	LK-1	LK-11	PS-1101	PS-110104	Colombo Central	4	Wolfendhal Street	6.9414459	79.856742	071-8591558	-	011-2323356	PS-110104	LK-1103110
Western	LK-1	LK-11	PS-1101	PS-110105	Colombo Central	5	Fort	6.933400199999999	79.8428946	071-8591560	011-2432635	011-2433744	PS-110105	LK-1103120
Western	LK-1	LK-11	PS-1101	PS-110106	Colombo Central	6	Slave Island	6.927317	79.8490036	071-8591561	011-2384382	011-2433829	PS-110106	LK-1103120
Western	LK-1	LK-11	PS-1101	PS-110107	Colombo Central	7	Maradana	6.9279389	79.8654711	071-8591563	011-2692888	011-2692748	PS-110107	LK-1103160
Western	LK-1	LK-11	PS-1101	PS-110108	Colombo Central	8	Maligawatta	6.934132399999999	79.8563053	071-8591564	011-2342041	011-2434135	PS-110108	LK-1103145
Western	LK-1	LK-11	PS-1102	PS-110209	Colombo North	9	Colombo Harbour	6.9411632	79.84274289999999	071-8591567	011-2328903	011-2320980	PS-110209	LK-1103120
Western	LK-1	LK-11	PS-1102	PS-110210	Colombo North	10	Fore shore	6.949588899999999	79.8573546	071-8591568	011-2436349	011-2434595	PS-110210	LK-1103050
Western	LK-1	LK-11	PS-1102	PS-110211	Colombo North	11	Modara	6.9648458	79.8685442	071-8591570	011-2523058	011-2524411	PS-110211	LK-1103030
Western	LK-1	LK-11	PS-1102	PS-110212	Colombo North	12	Kotahena	6.950878599999999	79.86249579999999	071-8591571	011-2435653	011-2431861	PS-110212	LK-1103050
Western	LK-1	LK-11	PS-1102	PS-110213	Colombo North	13	Mattakkuliya	6.9760103	79.8797565	071-8591572	-	011-2521761	PS-110213	LK-1103005
Western	LK-1	LK-11	PS-1102	PS-110214	Colombo North	14	Bluemandal	6.9330754	79.857181	071-8591573	-	011-2522733	PS-110214	
Western	LK-1	LK-11	PS-1102	PS-110215	Colombo North	15	Grandpass	6.9490522	79.8729828	071-8591575	011-2436258	011-2421414	PS-110215	LK-1103040
Western	LK-1	LK-11	PS-1102	PS-110216	Colombo North	16	Dematagoda	6.9303851	79.8771612	071-8591576	011-2693319	011-2693838	PS-110216	LK-1127035
Western	LK-1	LK-11	PS-1103	PS-110317	Colombo South	17	Kollupitiya	6.9141145	79.849048	071-8591579	011-2320131	011-2323689	PS-110317	LK-1127005
Western	LK-1	LK-11	PS-1103	PS-110318	Colombo South	18	Bambalapitiya	6.8920723	79.8557755	071-8591580	011-2583208	011-2588680	PS-110318	LK-1127065
Western	LK-1	LK-11	PS-1103	PS-110319	Colombo South	19	Kirulapone	6.8781222	79.8741591	071-8591582	011-2514634	011-2513531	PS-110319	LK-1127100
Western	LK-1	LK-11	PS-1103	PS-110320	Colombo South	20	Wellawatta	6.8731075	79.86167019999999	071-8591583	011-2364860	011-2588212	PS-110320	LK-1127090
Western	LK-1	LK-11	PS-1103	PS-110321	Colombo South	21	Narahenpita	6.891832099999999	79.87671499999999	071-8591584	011-2588638	011-2368242	PS-110321	LK-1127075
