id,name,district_id
MOH-11031,CMC,LK-11
MOH-11060,Kolonnawa,LK-11
MOH-11091,Battaramulla,LK-11
MOH-11092,Kaduwela,LK-11
MOH-11121,Homagama,LK-11
MOH-11122,Kahathuduwa,LK-11
MOH-11150,Hanwella,LK-11
MOH-11180,Padukka,LK-11
MOH-11211,Maharagama,LK-11
MOH-11212,Pitakotte,LK-11
MOH-11241,Nugegoda,LK-11
MOH-11300,Dehiwala,LK-11
MOH-11310,Rathmalana,LK-11
MOH-11330,Moratuwa,LK-11
MOH-11361,Boralesgamuwa,LK-11
MOH-11362,Piliyandala,LK-11
MOH-12030,Negambo,LK-12
MOH-12061,Katana,LK-12
MOH-12062,Seeduwa,LK-12
MOH-12090,Divulapitiya,LK-12
MOH-12120,Mirigama,LK-12
MOH-12150,Minuwangoda,LK-12
MOH-12181,Ragama,LK-12
MOH-12182,Wattala,LK-12
MOH-12211,Ja-Ela,LK-12
MOH-12240,Gampaha,LK-12
MOH-12270,Attanagalla,LK-12
MOH-12300,Dompe,LK-12
MOH-12330,Mahara,LK-12
MOH-12360,Kelaniya,LK-12
MOH-12390,Biyagama,LK-12
MOH-13031,Panadura,LK-13
MOH-13060,Bandaragama,LK-13
MOH-13090,Horana,LK-13
MOH-13100,Ingiriya,LK-13
MOH-13120,Bulathsinhala,LK-13
MOH-13151,Madurawala,LK-13
MOH-13211,Kalutara,LK-13
MOH-13240,Beruwala,LK-13
MOH-13272,Mathugama,LK-13
MOH-13330,Agalawatta,LK-13
MOH-13360,Palindanuwara,LK-13
MOH-13390,Walallawita,LK-13
MOH-21030,Thumpane,LK-21
MOH-21060,Poojapitiya,LK-21
MOH-21090,Akurana,LK-21
MOH-21120,Pathadumbara,LK-21
MOH-21150,Panvila,LK-21
MOH-21180,Udadumbara,LK-21
MOH-21210,Minipe,LK-21
MOH-21240,Medadumbara,LK-21
MOH-21271,Kundasale,LK-21
MOH-21272,Menikhinna,LK-21
MOH-21300,Kandy Four Gravets & Gangawata Korale,LK-21
MOH-21330,Harispattuwa,LK-21
MOH-21340,Hatharaliyadda,LK-21
MOH-21360,Yatinuwara,LK-21
MOH-21391,Bambaradeniya,LK-21
MOH-21392,Udunuwara,LK-21
MOH-21420,Doluwa,LK-21
MOH-21450,Pathahewaheta,LK-21
MOH-21480,Delthota,LK-21
MOH-21510,Udapalatha,LK-21
MOH-21540,Ganga Ihala Korale,LK-21
MOH-21570,Pasbage Korale,LK-21
MOH-22030,Galewela,LK-22
MOH-22060,Dambulla,LK-22
MOH-22090,Naula,LK-22
MOH-22120,Pallepola,LK-22
MOH-22150,Yatawatta,LK-22
MOH-22180,Matale,LK-22
MOH-22210,Ambanganga Korale,LK-22
MOH-22240,Laggala-Pallegama,LK-22
MOH-22270,Wilgamuwa,LK-22
MOH-22300,Rattota,LK-22
MOH-22330,Ukuwela,LK-22
MOH-23031,Kothmale,LK-23
MOH-23032,Nawathispane,LK-23
MOH-23061,Hanguranketha,LK-23
MOH-23062,Mathurata,LK-23
MOH-23091,Ragala,LK-23
MOH-23092,Walapane,LK-23
MOH-23121,Kotagala,LK-23
MOH-23122,Lindula,LK-23
MOH-23123,Nuwara Eliya,LK-23
MOH-23124,Nuwara Eliya MC,LK-23
MOH-23151,Ambagamuwa,LK-23
MOH-23152,Bogawanthalawa,LK-23
MOH-23153,Maskeliya,LK-23
MOH-31030,Bentota,LK-31
MOH-31060,Balapitiya,LK-31
MOH-31090,Karandeniya,LK-31
MOH-31120,Elpitiya,LK-31
MOH-31150,Niyagama,LK-31
MOH-31180,Thawalama,LK-31
MOH-31210,Neluwa,LK-31
MOH-31240,Nagoda,LK-31
MOH-31270,Baddegama,LK-31
MOH-31300,Welivitiya-Divithura,LK-31
MOH-31330,Ambalangoda,LK-31
MOH-31340,Gonapinuwala,LK-31
MOH-31361,Hikkaduwa,LK-31
MOH-31362,Rathgama,LK-31
MOH-31390,Galle Four Gravets,LK-31
MOH-31420,Bope-Poddala,LK-31
MOH-31450,Akmeemana,LK-31
MOH-31480,Yakkalamulla,LK-31
MOH-31510,Imaduwa,LK-31
MOH-31540,Habaraduwa,LK-31
MOH-32030,Pitabeddara,LK-32
MOH-32060,Kotapola,LK-32
MOH-32090,Pasgoda,LK-32
MOH-32121,Mulatiyana,LK-32
MOH-32151,Athuraliya,LK-32
MOH-32180,Akuressa,LK-32
MOH-32210,Welipitiya,LK-32
MOH-32240,Malimbada,LK-32
MOH-32270,Kamburupitiya,LK-32
MOH-32300,Hakmana,LK-32
MOH-32330,Kirinda Puhulwella,LK-32
MOH-32360,Thihagoda,LK-32
MOH-32390,Weligama,LK-32
MOH-32421,Matara MC,LK-32
MOH-32422,Matara PS,LK-32
MOH-32451,Devinuwara,LK-32
MOH-32452,Dickwella,LK-32
MOH-33030,Sooriyawewa,LK-33
MOH-33060,Lunugamvehera,LK-33
MOH-33090,Tissamaharama,LK-33
MOH-33120,Hambantota,LK-33
MOH-33150,Ambalantota,LK-33
MOH-33180,Angunukolapeles,LK-33
MOH-33210,Weeraketiya,LK-33
MOH-33240,Katuwana,LK-33
MOH-33250,Walasmulla,LK-33
MOH-33270,Okewela,LK-33
MOH-33300,Beliatta,LK-33
MOH-33330,Tangalle,LK-33
MOH-41031,Kayts,LK-41
MOH-41060,Chankanai,LK-41
MOH-41090,Sandilipay,LK-41
MOH-41120,Tellipalai,LK-41
MOH-41150,Uduvil,LK-41
MOH-41180,Kopay,LK-41
MOH-41211,Karaveddy,LK-41
MOH-41212,Point Pedro,LK-41
MOH-41300,Chavakachcheri,LK-41
MOH-41330,Nallur,LK-41
MOH-41360,Jaffna,LK-41
MOH-42030,Mannar Town,LK-42
MOH-42060,Manthai West,LK-42
MOH-42090,Madhu,LK-42
MOH-42120,Nanattan,LK-42
MOH-42150,Musalai,LK-42
MOH-43031,Vavuniya North,LK-43
MOH-43032,Welioya,LK-43
MOH-43060,Vavuniya South,LK-43
MOH-43090,Vavuniya,LK-43
MOH-43120,Cheddikulam,LK-43
MOH-44030,Mallavi,LK-44
MOH-44060,Manthai East,LK-44
MOH-44090,Puthukkudiyiruppu,LK-44
MOH-44120,Oddusuddan,LK-44
MOH-44150,Mullaitivu,LK-44
MOH-45030,Palai,LK-45
MOH-45060,Kandawalai,LK-45
MOH-45090,Kilinochchi,LK-45
MOH-45120,Poonakary,LK-45
MOH-51030,Vakarai,LK-51
MOH-51040,Koralaipattu ( Oddmavadi Central ),LK-51
MOH-51060,Kiran,LK-51
MOH-51090,Ottamavadi,LK-51
MOH-51100,Valaichenai,LK-51
MOH-51120,Chenkalady,LK-51
MOH-51150,Eravur,LK-51
MOH-51180,Batticaloa,LK-51
MOH-51210,Vavunathivu,LK-51
MOH-51240,Kattankudy,LK-51
MOH-51270,Arayampathy,LK-51
MOH-51300,Paddipalai,LK-51
MOH-51330,Vellaveli,LK-51
MOH-51360,Kaluwanchikudy,LK-51
MOH-52030,Dehiyathakandiya,LK-52
MOH-52060,Padiyathalawa,LK-52
MOH-52090,Mahaoya,LK-52
MOH-52120,Uhana,LK-52
MOH-52150,Ampara,LK-52
MOH-52160,Navithanveli,LK-52
MOH-52180,Sammanthurai,LK-52
MOH-52241,Kalmunai South ( Muslim Div ),LK-52
MOH-52242,Kalnumai North ( Tamil Div ),LK-52
MOH-52250,Sainthamaruthu,LK-52
MOH-52270,Karaithivu,LK-52
MOH-52300,Ninthavur,LK-52
